Alias	BioSample	Chlorophyll Sensor	Depth	Description	ENA checklist	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Event Date/Time End	Event Date/Time Start	Event Label	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Last Update Date	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Nitrate Sensor	Oxygen Sensor	Project Name	Protocol Label	SRA accession	Salinity Sensor	Sample Collection Device	Sample Name	Sampling Campaign	Sampling Platform	Sampling Station	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Temperature	Title
TARA_Y100001935	SAMEA2622764	0.286662	5	"This sample (TARA_Y100001935) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.1504, longitudeE=-140.5216) on date/time=2011-08-04T18:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-04T22:00	2011-08-04T18:33	TARA_20110804T1833Z_124_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:48Z	public	2014-05-01Z	-9.1552	-9.1504	-140.5284	-140.5216	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	5.111856	190.724	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492819	35.396729	PUMP (High Volume Peristaltic Pump)	ERS492819	TARA_20110726Z	SV Tara	TARA_124	0.22	0.45	26.518986	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001935
TARA_Y100001937	SAMEA2622763	0.286662	5	"This sample (TARA_Y100001937) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.1504, longitudeE=-140.5216) on date/time=2011-08-04T18:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-04T22:00	2011-08-04T18:33	TARA_20110804T1833Z_124_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:48Z	public	2014-05-01Z	-9.1552	-9.1504	-140.5284	-140.5216	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	5.111856	190.724	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492818	35.396729	PUMP (High Volume Peristaltic Pump)	ERS492818	TARA_20110726Z	SV Tara	TARA_124	0.1	0.22	26.518986	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100001937
TARA_Y100001956	SAMEA2622738	0.051638	150	"This sample (TARA_Y100001956) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-02T00:37	2011-08-01T17:52:45	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	5.023264	161.3185	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492783	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492783	TARA_20110726Z	SV Tara	TARA_123	0.45	0.8	22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001956
TARA_Y100001960	SAMEA2622737	0.051638	150	"This sample (TARA_Y100001960) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-02T00:37	2011-08-01T17:52:45	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	5.023264	161.3185	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492782	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492782	TARA_20110726Z	SV Tara	TARA_123	0.22	0.45	22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001960
TARA_Y100001963	SAMEA2622736	0.051638	150	"This sample (TARA_Y100001963) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9109, longitudeE=-140.2845) on date/time=2011-08-01T17:52:45, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 150-150 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-02T00:37	2011-08-01T17:52:45	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:52Z	public	2014-05-01Z	-8.896	-8.9109	-140.2861	-140.2845	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	5.023264	161.3185	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492781	35.88072	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492781	TARA_20110726Z	SV Tara	TARA_123	0.1	0.22	22.1151	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100001963
TARA_Y100001954	SAMEA2622716	0.319103	5	"This sample (TARA_Y100001954) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9068, longitudeE=-140.283) on date/time=2011-07-31T17:20, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-31T19:33	2011-07-31T17:20	TARA_20110731T1720Z_123_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:57Z	public	2014-05-01Z	-8.8951	-8.9068	-140.3174	-140.283	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.868407	189.758333	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492739	35.359483	PUMP (High Volume Peristaltic Pump)	ERS492739	TARA_20110726Z	SV Tara	TARA_123	0.45	0.8	26.576175	TARA_20110731T1720Z_123_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001954
TARA_Y100001958	SAMEA2622715	0.319103	5	"This sample (TARA_Y100001958) was collected during the Tara Oceans expedition (2009-2013) at station TARA_123 (latitudeN=-8.9068, longitudeE=-140.283) on date/time=2011-07-31T17:20, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-31T19:33	2011-07-31T17:20	TARA_20110731T1720Z_123_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:57Z	public	2014-05-01Z	-8.8951	-8.9068	-140.3174	-140.283	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.868407	189.758333	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492738	35.359483	PUMP (High Volume Peristaltic Pump)	ERS492738	TARA_20110726Z	SV Tara	TARA_123	0.22	0.45	26.576175	TARA_20110731T1720Z_123_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001958
TARA_Y100001968	SAMEA2622696	0.295808	115	"This sample (TARA_Y100001968) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-9.0063, longitudeE=-139.1394) on date/time=2011-07-28T17:15:56, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 115-115 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-28T20:03	2011-07-28T17:15:56	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:59Z	public	2014-05-01Z	-8.9632	-9.0063	-139.2276	-139.1394	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	2.333576	179.916875	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492705	36.097575	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492705	TARA_20110726Z	SV Tara	TARA_122	0.45	0.8	24.69625	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_MB_D_(115 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001968
TARA_Y100001970	SAMEA2622695	0.295808	115	"This sample (TARA_Y100001970) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-9.0063, longitudeE=-139.1394) on date/time=2011-07-28T17:15:56, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 115-115 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-28T20:03	2011-07-28T17:15:56	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:59Z	public	2014-05-01Z	-8.9632	-9.0063	-139.2276	-139.1394	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	2.333576	179.916875	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492704	36.097575	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492704	TARA_20110726Z	SV Tara	TARA_122	0.22	0.45	24.69625	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_MB_D_(115 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001970
TARA_Y100001973	SAMEA2622694	0.295808	115	"This sample (TARA_Y100001973) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-9.0063, longitudeE=-139.1394) on date/time=2011-07-28T17:15:56, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 115-115 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-28T20:03	2011-07-28T17:15:56	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:59Z	public	2014-05-01Z	-8.9632	-9.0063	-139.2276	-139.1394	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	2.333576	179.916875	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492703	36.097575	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492703	TARA_20110726Z	SV Tara	TARA_122	0.1	0.22	24.69625	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_MB_D_(115 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100001973
TARA_Y100001947	SAMEA2622678	0	600	"This sample (TARA_Y100001947) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-8.9729, longitudeE=-139.2393) on date/time=2011-07-27T19:28:43, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 600-600 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-28T03:26	2011-07-27T19:28:43	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:54Z	public	2014-05-01Z	-8.978	-8.9729	-139.2432	-139.2393	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	42.53205	38.115125	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492685	34.580675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492685	TARA_20110726Z	SV Tara	TARA_122	0.45	0.8	7.212238	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001947
TARA_Y100001949	SAMEA2622677	0	600	"This sample (TARA_Y100001949) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-8.9729, longitudeE=-139.2393) on date/time=2011-07-27T19:28:43, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 600-600 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-28T03:26	2011-07-27T19:28:43	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:54Z	public	2014-05-01Z	-8.978	-8.9729	-139.2432	-139.2393	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	42.53205	38.115125	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492684	34.580675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492684	TARA_20110726Z	SV Tara	TARA_122	0.22	0.45	7.212238	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001949
TARA_Y100001951	SAMEA2622676	0	600	"This sample (TARA_Y100001951) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-8.9729, longitudeE=-139.2393) on date/time=2011-07-27T19:28:43, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 600-600 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-28T03:26	2011-07-27T19:28:43	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:54Z	public	2014-05-01Z	-8.978	-8.9729	-139.2432	-139.2393	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	42.53205	38.115125	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492683	34.580675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492683	TARA_20110726Z	SV Tara	TARA_122	0.1	0.22	7.212238	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MB_M_(600 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100001951
TARA_Y100001978	SAMEA2622658	0.166512	5	"This sample (TARA_Y100001978) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-8.9971, longitudeE=-139.1963) on date/time=2011-07-26T17:10, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-26T19:41	2011-07-26T17:10	TARA_20110726T1710Z_122_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.9721	-8.9971	-139.2742	-139.1963	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.986359	186.2407	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492648	35.3662	PUMP (High Volume Peristaltic Pump)	ERS492648	TARA_20110726Z	SV Tara	TARA_122	0.45	0.8	26.54413	TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001978
TARA_Y100001980	SAMEA2622657	0.166512	5	"This sample (TARA_Y100001980) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-8.9971, longitudeE=-139.1963) on date/time=2011-07-26T17:10, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-26T19:41	2011-07-26T17:10	TARA_20110726T1710Z_122_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:54Z	public	2014-05-01Z	-8.9721	-8.9971	-139.2742	-139.1963	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.986359	186.2407	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492647	35.3662	PUMP (High Volume Peristaltic Pump)	ERS492647	TARA_20110726Z	SV Tara	TARA_122	0.22	0.45	26.54413	TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001980
TARA_Y100001972	SAMEA2622656	0.166512	5	"This sample (TARA_Y100001972) was collected during the Tara Oceans expedition (2009-2013) at station TARA_122 (latitudeN=-8.9971, longitudeE=-139.1963) on date/time=2011-07-26T17:10, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-07-26T19:41	2011-07-26T17:10	TARA_20110726T1710Z_122_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:54Z	public	2014-05-01Z	-8.9721	-8.9971	-139.2742	-139.1963	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.986359	186.2407	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492646	35.3662	PUMP (High Volume Peristaltic Pump)	ERS492646	TARA_20110726Z	SV Tara	TARA_122	0.1	0.22	26.54413	TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100001972
TARA_Y100001001	SAMEA2621295	0	800	"This sample (TARA_Y100001001) was collected during the Tara Oceans expedition (2009-2013) at station TARA_078 (latitudeN=-30.1471, longitudeE=-43.2915) on date/time=2010-11-05T12:33:27, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 800-800 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2010-11-05T20:39	2010-11-05T12:33:27	TARA_20101105T1235Z_078_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:39Z	public	2014-05-01Z	-30.3455	-30.1471	-43.2924	-43.2915		29.783185	214.842	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS490722	34.3629	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS490722	TARA_20101031Z	SV Tara	TARA_078	0.45	0.8	5.8659	TARA_20101105T1235Z_078_Combined-EVENTS_CAST_MB_M_(800 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001001
