Event Label	Cruise	CTDType	Station	CTDrosette_filename	DateTime	Latitude	Longitude	bottle	Pressure_Digiquartz	Depth 	Temperature	Conductivity	Salinity	Potential_Temperature	Density	"Oxygen, factory"	"Oxygen, adjusted"	"Nitrates, adjusted"	Chloro factory 	Chloro HPLC adjusted 	"Angular scattering coef, at 117°, 470 nm, factory "	"Part backscattering coef, 470 nm, factory "	"Angular scattering coef, at 117°, 470 nm, adj in situ dark"	"Part backscattering coef, 470 nm, adj in situ dark "	"bbp470, adj in situ dark "	"Fcdom, factory "	"beam attenuation coef, 660 nm, factory "	"beam attenuation coef, 660 nm, adjusted deep zero "	LPM (0.06-0.53mm)	LPM (0.53-1.06mm)	LPM (1.06-2.66mm)	LPM (0.06-2.66mm)	LPM biovolume (0.06-0.53mm)	LPM biovolume (0.53-1.06mm)	LPM biovolume (1.06-2.66mm)	LPM biovolume (0.06-2.66mm)	LPM (0.06-0.07mm)	LPM (0.07-0.09mm)	LPM (0.09-0.11mm)	LPM (0.11-0.14mm)	LPM (0.14-0.17mm)	LPM (0.17-0.21mm)	LPM (0.21-0.27mm)	LPM (0.27-0.34mm)	LPM (0.34-0.42mm)	LPM (0.42-0.53mm)	LPM (0.53-0.67mm)	LPM (0.67-0.84mm)	LPM (0.84-1.06mm)	LPM (1.06-1.33mm)	LPM (1.33-1.68mm)	LPM (1.68-2.11mm)	LPM (2.11-2.66mm)	LPM (2.66-3.35mm)	LPM (3.35-4.22mm)	LPM (4.22-5.32mm)	LPM (5.32-6.7mm)	LPM (6.7-8.44mm)	LPM (8.44-10.64mm)	LPM (10.64-13.4mm)	LPM (13.4-16.88mm)	LPM (16.88-21.27mm)	LPM (21.27-26.79mm)	LPM biovolume (0.06-0.07mm)	LPM biovolume (0.07-0.09mm)	LPM biovolume (0.09-0.11mm)	LPM biovolume (0.11-0.14mm)	LPM biovolume (0.14-0.17mm)	LPM biovolume (0.17-0.21mm)	LPM biovolume (0.21-0.27mm)	LPM biovolume (0.27-0.34mm)	LPM biovolume (0.34-0.42mm)	LPM biovolume (0.42-0.53mm)	LPM biovolume (0.53-0.67mm)	LPM biovolume (0.67-0.84mm)	LPM biovolume (0.84-1.06mm)	LPM biovolume (1.06-1.33mm)	LPM biovolume (1.33-1.68mm)	LPM biovolume (1.68-2.11mm)	LPM biovolume (2.11-2.66mm)	LPM biovolume (2.66-3.35mm)	LPM biovolume (3.35-4.22mm)	LPM biovolume (4.22-5.32mm)	LPM biovolume (5.32-6.7mm)	LPM biovolume (6.7-8.44mm)	LPM biovolume (8.44-10.64mm)	LPM biovolume (10.64-13.4mm)	LPM biovolume (13.4-16.88mm)	LPM biovolume (16.88-21.27mm)	LPM biovolume (21.27-26.79mm)
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	1	1008	998.64	6.16465	34.809111	34.82675	6.07135	27.4067	88.7155	88.7155	NA	-0.0072	0	0.000287	3.90E-05	1.60E-05	-0.000232	0.000273	2.35	-0.02666	-0.000461	3.0174	0	0	3.0174	0.010971	0	0	0.010971	0	NA	1.089325	NA	0.963698	0.334596	0.335317	0.173984	0.120466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.00057	NA	0.001609	0.00118	0.002082	0.002497	0.003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	2	1006	996.561	6.1945	34.838329	34.8297	6.1012	27.4053	88.4885	88.4885	NA	-0.0072	0	0.000287	3.90E-05	1.60E-05	-0.000232	0.000273	2.26	-0.02666	-0.000461	3.0174	0	0	3.0174	0.010971	0	0	0.010971	0	NA	1.089325	NA	0.963698	0.334596	0.335317	0.173984	0.120466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.00057	NA	0.001609	0.00118	0.002082	0.002497	0.003033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	3	1004	994.671	6.2129	34.856241	34.8319	6.1196	27.4046	87.705	87.705	NA	-0.0072	0	0.000287	3.90E-05	1.60E-05	-0.000232	0.000273	2.1975	-0.02666	-0.000461	2.9275	0.031831	0	2.9594	0.011738	0.007656	0	0.019394	0	NA	1.064893	NA	0.913254	0.279572	0.381489	0.18145	0.058427	0.048438	0	0.031831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000557	NA	0.001571	0.000986	0.002377	0.002725	0.00142	0.002102	0	0.007656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	4	1002	992.748	6.22225	34.863965	34.8322	6.12915	27.40355	87.598	87.598	NA	0	0	0.000281	3.40E-05	1.00E-05	-0.000238	0.000233	2.32	-0.02666	-0.000461	2.9275	0.031831	0	2.9594	0.011738	0.007656	0	0.019394	0	NA	1.064893	NA	0.913254	0.279572	0.381489	0.18145	0.058427	0.048438	0	0.031831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000557	NA	0.001571	0.000986	0.002377	0.002725	0.00142	0.002102	0	0.007656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	5	1000	990.512	6.2402	34.88035	34.8332	6.1472	27.402	87.902	87.902	NA	0	0	0.000275	2.80E-05	4.00E-06	-0.000244	0.000193	2.26	-0.02666	-0.000461	2.8173	0.063662	0	2.881	0.013035	0.015312	0	0.028348	0	NA	1.026128	NA	0.923515	0.189184	0.354481	0.197432	0.029709	0.096877	0	0.063662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000537	NA	0.001549	0.000667	0.002346	0.002967	0.000766	0.004205	0	0.015312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	6	998	988.763	6.2554	34.89452	34.8344	6.1624	27.4008	87.901	87.901	NA	-0.0072	0	0.000287	4.00E-05	1.60E-05	-0.000232	0.000273	2.29	-0.02666	-0.000461	2.944	0.049288	0	2.9932	0.012837	0.0090017	0	0.021839	0	NA	1.086393	NA	0.954462	0.248742	0.331974	0.184897	0.069321	0.068172	0.017457	0.031831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000569	NA	0.001616	0.000877	0.002287	0.002781	0.001715	0.002992	0.001346	0.007656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	7	996	986.873	6.2535	34.889415	34.8318	6.1607	27.3989	88.313	88.313	NA	-0.0072	0	0.000287	4.00E-05	1.60E-05	-0.000232	0.000273	2.29	-0.02666	-0.000461	2.944	0.049288	0	2.9932	0.012837	0.0090017	0	0.021839	0	NA	1.086393	NA	0.954462	0.248742	0.331974	0.184897	0.069321	0.068172	0.017457	0.031831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000569	NA	0.001616	0.000877	0.002287	0.002781	0.001715	0.002992	0.001346	0.007656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	8	994	984.728	6.2649	34.899229	34.832	6.1722	27.3978	88.144	88.144	NA	-0.0072	0	0.000287	4.00E-05	1.60E-05	-0.000232	0.000273	2.29	-0.02666	-0.000461	2.8155	0.017457	0	2.833	0.010611	0.0013457	0	0.011957	0	NA	1.125351	NA	0.980809	0.216643	0.26012	0.086181	0.10746	0.038935	0.017457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000589	NA	0.00167	0.000764	0.001775	0.001298	0.002863	0.001652	0.001346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	9	992	982.43	6.2699	34.902528	34.8317	6.1775	27.3969	88.271	88.271	NA	-0.0072	0	0.000287	4.00E-05	1.60E-05	-0.000232	0.000273	2.32	-0.02666	-0.000461	2.8155	0.017457	0	2.833	0.010611	0.0013457	0	0.011957	0	NA	1.125351	NA	0.980809	0.216643	0.26012	0.086181	0.10746	0.038935	0.017457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000589	NA	0.00167	0.000764	0.001775	0.001298	0.002863	0.001652	0.001346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20100626T0713Z_056_EVENT_CAST	Tara_oceans	sbe9_rosette	56	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	10	990	980.5395	6.284	34.91324	34.8303	6.1917	27.3939	88.588	88.588	NA	-0.0072	0	0.000287	4.00E-05	1.60E-05	-0.000232	0.000273	2.1675	-0.02666	-0.000461	2.5604	0	0	2.5604	0.0085841	0	0	0.0085841	0	NA	1.104045	NA	0.976208	0.124986	0.210772	0	0.105988	0.038402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.000578	NA	0.001658	0.000441	0.001321	0	0.003061	0.001525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
