Biosample ID,SRA ID,OrganismName,depth,description,ENA checklist,EVENT_Device,Event Date/Time,IHO,INSDC center name,INSDC first public,INSDC last update,INSDC status,Latitude End,Latitude Start,Longitude End,Longitude Start,Marine Region,Protocol Label,SAMPLE_Title,SAMPLING_Objective,SRA accession,salinity,Sample Name,Sampling Campaign,Sampling Platform,Sampling Site,temperature,Title,broad-scale environmental context,environment (feature),environment (material),environmental package,mrgid,Attributes/Attribute/33/_attribute_name,Attributes/Attribute/33/_harmonized_name,Attributes/Attribute/33/_display_name,project name,_publication_date,_last_update,_submission_date,_id,_accession
SAMEA3275466,ERS667475,marine metagenome,0,IMOS National Reference Stations - OSD,ERC000027,10 L bucket,2014-07-13T16:52:00+00,Great Australian Bight,OSD_IMOS/SARDI/CSIRO,2015-04-29T17:01:21Z,2016-10-21T09:45:53Z,public,-35.8372,-35.8372,136.4413,136.4413,Great Australian Bight,NPL022,OSD190_2014-07-13_0m_NPL022,IMOS National Reference Stations - OSD,ERS667475,35.7899,ERS667475,OSD-Jun-2014,"Research vessel, Ngerin","OSD190,Kangaroo Island",15.9433,OSD190_2014-07-13_0m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,4276,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:57:06.220,2015-05-01T14:46:35.683,3579767,SAMEA3275466
SAMEA3275465,ERS667474,marine metagenome,0,IMOS National Reference Stations - OSD,ERC000027,10 L Niskin,2014-07-02T00:03:00+00,Timor Sea,OSD_IMOS/AIMS/CSIRO,2015-04-29T17:01:21Z,2016-10-21T09:45:53Z,public,-12.3382,-12.3382,130.6952,130.6952,Timor Sea,NPL022,OSD191_2014-07-02_0m_NPL022,IMOS National Reference Stations - OSD,ERS667474,34.19,ERS667474,OSD-Jun-2014,"Research vessel, Westpac Rescue 1","OSD191,Darwin",24.76,OSD191_2014-07-02_0m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,4344,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:57:06.393,2015-05-01T14:46:35.330,3579766,SAMEA3275465
SAMEA3275646,ERS667668,marine metagenome,0,To collect surface seawater on the summer solstice day from the L4 mooring in the Western English Channel (OSD1) and to filter the water using the standardized protocol NPL022. The filters will be sent to Germany and subsequently processed and analysed for the prokariotic fraction. The results will be part of the global campaign OSD data-set which will allow the scientific community to better understand the microbial diversity and function in the light of climate change assessment. The data-set so established will be used as a reference for future studies and the base for developing biotechnologies.,ERC000027,10 L Niskin bottle,2014-06-21T11:10:00+00,English Channel,"OSD_Western Observatory Channel, Plymouth Marine Laboratory",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,50.151,50.151,-4.13,-4.13,English Channel,NPL022,OSD1_2014-06-21_0m_NPL022,To collect surface seawater on the summer solstice day from the L4 mooring in the Western English Channel (OSD1) and to filter the water using the standardized protocol NPL022. The filters will be sent to Germany and subsequently processed and analysed for the prokariotic fraction. The results will be part of the global campaign OSD data-set which will allow the scientific community to better understand the microbial diversity and function in the light of climate change assessment. The data-set so established will be used as a reference for future studies and the base for developing biotechnologies.,ERS667668,35.22,ERS667668,OSD-Jun-2014,Research vessel - MBA SEPIA,"OSD1,L4",16.66,OSD1_2014-06-21_0m_NPL022,ENVO: 01000023,ENVO: 00002042,ENVO: 00002149,water,2389,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:42.100,2015-03-04T08:10:58.927,3386920,SAMEA3275646
SAMEA3275645,ERS667667,marine metagenome,0,Our objective is to contribute to the OSD dataset on marine microbial diversity and functions and possibly its analysis. We are particularly interested by the structure and fucntions of prokaryotic and eukaryotic communities and their in situ interactions.,ERC000027,5L Niskin bottle,2014-06-20T12:26:00+00,English Channel,"OSD_Station Biologique de Roscoff, France",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,48.7778,48.7778,-3.9375,-3.9375,English Channel,NPL022,OSD2_2014-06-20_0m_NPL022,Our objective is to contribute to the OSD dataset on marine microbial diversity and functions and possibly its analysis. We are particularly interested by the structure and fucntions of prokaryotic and eukaryotic communities and their in situ interactions.,ERS667667,35.128,ERS667667,OSD-Jun-2014,RV Neomysis,"OSD2,Roscoff - SOMLIT",14.38,OSD2_2014-06-20_0m_NPL022,marine biome,surface water,seawater,water,2389,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:41.910,2015-03-04T08:10:58.803,3386919,SAMEA3275645
SAMEA3275643,ERS667665,marine metagenome,0,OSD 2014 at Helgoland,ERC000027,10L Bucket,2014-06-20T06:40:00+00,North Sea,OSD_Biologische Anstalt Helgoland (BAH) - Alfred Wegner Institute (AWI),2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,54.18194,54.18194,7.9,7.9,North Sea,NPL022,OSD3_2014-06-20_0m_NPL022,OSD 2014 at Helgoland,ERS667665,32.591,ERS667665,OSD-Jun-2014,Aade,"OSD3,Helgoland",14,OSD3_2014-06-20_0m_NPL022,marine biome,surface water,seawater,water,2350,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:41.740,2015-03-04T08:10:58.707,3386918,SAMEA3275643
SAMEA3275642,ERS667664,marine metagenome,0,Ocean Sampling Day performed during LTER MC research activity 2014,ERC000027,Niskin bottle,2014-06-20T10:00:00+00,Tyrrhenian Sea,OSD_Stazione Zoologica Anton Dohrn,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,40.808,40.808,14.25,14.25,Tyrrhenian Sea,NPL022,OSD4_2014-06-20_0m_NPL022,Ocean Sampling Day performed during LTER MC research activity 2014,ERS667664,36.88,ERS667664,OSD-Jun-2014,R/V Vettoria,"OSD4,LTER-MC, Naples",23.3,OSD4_2014-06-20_0m_NPL022,Marine biome 00000447,Surface water 00002042_ 00000569,Seawater_00002010_00002149,water,3386,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:41.350,2015-03-04T08:10:58.610,3386917,SAMEA3275642
SAMEA3275640,ERS667662,marine metagenome,1,Water sampling for Prokaryotes.,ERC000027,Niskin bottles,2014-06-19T07:15:00+00,Aegean Sea,OSD_Hellenic Centre for Marine Research,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.661,35.661,24.99,24.99,Aegean Sea,NPL022,OSD5_2014-06-19_1m_NPL022,Water sampling for Prokaryotes.,ERS667662,39.29,ERS667662,OSD-Jun-2014,Research Vessel Alkyon,"OSD5,Crete",24.46,OSD5_2014-06-19_1m_NPL022,ENVO:01000035,ENVO:00002223,ENVO:00002042,water,3315,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:41.553,2015-03-04T08:10:58.530,3386916,SAMEA3275640
SAMEA3275639,ERS667661,marine metagenome,75,Water Sampling for Prokaryotes,ERC000027,Niskin bottles,2014-06-19T13:00:00+00,Aegean Sea,OSD_Hellenic Centre for Marine Research,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.661,35.661,24.99,24.99,Aegean Sea,NPL022,OSD5_2014-06-19_75m_NPL022,Water Sampling for Prokaryotes,ERS667661,39.23,ERS667661,OSD-Jun-2014,Research Vessel Alkyon,"OSD5,Crete",16.87,OSD5_2014-06-19_75m_NPL022,1000035,2223,Deep Chlorophyll Maximum,water,3315,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:41.160,2015-03-04T08:10:58.410,3386915,SAMEA3275639
SAMEA3282989,ERS667660,marine metagenome,0,OSD sampling,ERC000027,"1 bucket, CTD, radiometer",2014-06-21T10:30:00+00,Balearic Sea,OSD_Institut de Ciències del Mar,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,41.6666,41.6666,2.8,2.8,Balearic Sea,NPL022,OSD6_2014-06-21_0m_NPL022,OSD sampling,ERS667660,37.83,ERS667660,OSD-Jun-2014,R/V Dolores,"OSD6,Blanes",20.66,OSD6_2014-06-21_0m_NPL022,Marine biome - coastal,surface water,seawater,water,3322,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-16T00:21:35.700,2015-03-04T08:10:58.330,3386914,SAMEA3282989
SAMEA3275637,ERS667658,marine metagenome,0,"The San Pedro Ocean Time-series station, or SPOT, is a long term study of the microbial and biogeochemical cycles in the San Pedro Basin off Southern California. Sampling for Ocean Sampling Day in June 2014 was performed at the SPOT station to maintain continuity and a broader ecological context for the solstice day. Many marine sites around the globe conducted sampling within this time frame of several days.",ERC000027,5 gallon bucket,2014-06-18T20:18:00+00,North Pacific Ocean,"OSD_San Pedro Ocean Time Series, USC Microbial Observatory, University of Southern California",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,33.55,33.55,-118.4,-118.4,North Pacific Ocean,NPL022,OSD9_2014-06-18_0m_NPL022,"The San Pedro Ocean Time-series station, or SPOT, is a long term study of the microbial and biogeochemical cycles in the San Pedro Basin off Southern California. Sampling for Ocean Sampling Day in June 2014 was performed at the SPOT station to maintain continuity and a broader ecological context for the solstice day. Many marine sites around the globe conducted sampling within this time frame of several days.",ERS667658,33.56,ERS667658,OSD-Jun-2014,"research vessel, R/V Yellowfin","OSD9,SPOTS",19.2,OSD9_2014-06-18_0m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,1908,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:40.630,2015-03-04T08:10:58.127,3386912,SAMEA3275637
SAMEA3275634,ERS667655,marine metagenome,0,The link between bacterial diversity and microbial community function in the unique Black Sea is very interesting and important.,ERC000027,Nansen bottle,2014-06-21T08:30:00+00,Black Sea,"OSD_Institute of Oceanology - Bulgarian Academy of Sciences, Varna",2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,43.175843,43.175843,27.908643,27.908643,Black Sea,NPL022,OSD13_2014-06-21_0m_NPL022,The link between bacterial diversity and microbial community function in the unique Black Sea is very interesting and important.,ERS667655,12.6,ERS667655,OSD-Jun-2014,research vessel Akademik,"OSD13,Varna Bay",22.87,OSD13_2014-06-21_0m_NPL022,ENVO:00000447,ENVO:00002042,ENVO:00002010,water,3319,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:40.443,2015-03-04T08:10:57.920,3386910,SAMEA3275634
SAMEA3275633,ERS667654,marine metagenome,2,Time-series in North-West Mediterranean linking microbial community dynamics to biogeochemical function.,ERC000027,CTD rosette equipped with 12 litre Niskins and seabird electronics,2014-06-23T09:05:00+00,Mediterranean Sea - Western Basin,OSD_Oceanology Observatory of Banyuls,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,42.49,42.49,3.14,3.15,Mediterranean Sea - Western Basin,NPL022,OSD14_2014-06-23_2m_NPL022,Time-series in North-West Mediterranean linking microbial community dynamics to biogeochemical function.,ERS667654,37.833,ERS667654,OSD-Jun-2014,Research Vessel,"OSD14,Banyuls - SOMLIT",20.45,OSD14_2014-06-23_2m_NPL022,"Ocean, Temperate, Oligotrophic","Coastal, North-West Mediterranean",PVDF and polycarbonate filters,water,4279,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:40.270,2015-03-04T08:10:57.820,3386909,SAMEA3275633
SAMEA3275632,ERS667653,marine metagenome,0,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,ERC000027,Niskin bottle and CTD,2014-06-21T08:30:05+00,Adriatic Sea,OSD_Observatoire Oceanologique de Villefranche sur mer,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,41.6666666,41.16666666,18.5833333,18.5833333,Adriatic Sea,NPL022,OSD15_2014-06-21_0m_NPL022,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,ERS667653,37.9702,ERS667653,OSD-Jun-2014,RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV),"OSD15,Villefranche - SOMLIT",21.778,OSD15_2014-06-21_0m_NPL022,ENVO:marine biome,ENVO:water,Sterivex cartridges,water,3314,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:39.910,2015-03-04T08:10:57.743,3386908,SAMEA3275632
SAMEA3275631,ERS667652,marine metagenome,50,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,ERC000027,Niskin bottle and CTD,2014-06-21T08:30:05+00,Adriatic Sea,OSD_Observatoire Oceanologique de Villefranche sur mer,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,41.6666666,41.6666666,18.5833333,18.5833333,Adriatic Sea,NPL022,OSD15_2014-06-21_50m_NPL022,For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water,ERS667652,37.981,ERS667652,OSD-Jun-2014,RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV),"OSD15,Villefranche - SOMLIT",16.0522,OSD15_2014-06-21_50m_NPL022,ENVO:marine biome,ENVO:water,Sterivex cartridges,water,3314,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:40.083,2015-03-04T08:10:57.620,3386907,SAMEA3275631
SAMEA3275630,ERS667651,marine metagenome,3,During Lifewatch monitoring campaign we sampled for OSD as well.\n,ERC000027,10L Niskin,2014-06-20T08:00:22+00,North Sea,OSD_Flanders Marine Institute,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,51.434733,51.434733,2.810867,2.810867,North Sea,NPL022,OSD17_2014-06-20_3m_NPL022,During Lifewatch monitoring campaign we sampled for OSD as well.\n,ERS667651,34.0252,ERS667651,OSD-Jun-2014,330 RV Simon Stevin,"OSD17,VLIZ",16.6822,OSD17_2014-06-20_3m_NPL022,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,water,2350,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:39.740,2015-03-04T08:10:57.540,3386906,SAMEA3275630
SAMEA3275629,ERS667650,marine metagenome,75,To collect DNA samples from the marine ecosystem,ERC000027,5l Niskin bottle,2014-06-20T10:00:00+00,Mediterranean Sea - Eastern Basin,OSD_Near East University,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.362826,35.363732,33.287118,33.289649,Mediterranean Sea - Eastern Basin,NPL022,OSD18_2014-06-20_75m_NPL022,To collect DNA samples from the marine ecosystem,ERS667650,38.5,ERS667650,OSD-Jun-2014,Research Vessel Teal Jr,"OSD18,Kyrenia (North Cyprus)",20.7,OSD18_2014-06-20_75m_NPL022,Marine,Surfacel waters,Sea Water,water,4280,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:39.553,2015-03-04T08:10:57.443,3386905,SAMEA3275629
SAMEA3275628,ERS667649,marine metagenome,2,Not available,ERC000027,Ruttner Water Sampler,2014-06-23T09:30:00+00,Mediterranean Sea - Eastern Basin,OSD_Eastern Mediterranean University,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35,35,33,33,Mediterranean Sea - Eastern Basin,NPL022,OSD19_2014-06-23_2m_NPL022,Not available,ERS667649,39.1,ERS667649,OSD-Jun-2014,RV Security Ship,"OSD19,Famagusta (North Cyprus)",29,OSD19_2014-06-23_2m_NPL022,Marine Biome,Surface Water,Sea Water,water,4280,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:39.350,2015-03-04T08:10:57.337,3386904,SAMEA3275628
SAMEA3275627,ERS667648,marine metagenome,20,Microbial diversity,ERC000027,Sampler,2014-06-20T10:30:00+00,North Atlantic Ocean,OSD_MATIS,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,64.208333,64.208333,-22.015,-22.015,North Atlantic Ocean,NPL022,OSD20_2014-06-20_20m_NPL022,Microbial diversity,ERS667648,31.2,ERS667648,OSD-Jun-2014,Small research vessel,"OSD20,Iceland (Faxafloi)",11,OSD20_2014-06-20_20m_NPL022,ENV:00000447,ENV:00002042,ENV:00002010,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:39.160,2015-03-04T08:10:57.280,3386903,SAMEA3275627
SAMEA3275626,ERS667647,marine metagenome,0,Microbial diversity,ERC000027,bucket,2014-06-20T10:30:00+00,North Atlantic Ocean,OSD_MATIS,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,64.208333,64.208333,-22.015,-22.015,North Atlantic Ocean,NPL022,OSD20_2014-06-20_0m_NPL022,Microbial diversity,ERS667647,31.2,ERS667647,OSD-Jun-2014,Small research vessel,"OSD20,Iceland (Faxafloi)",11,OSD20_2014-06-20_0m_NPL022,ENV:00000447,ENV:00002042,ENV:00002010,water,1912,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-15T23:02:38.990,2015-03-04T08:10:57.197,3386902,SAMEA3275626
SAMEA3282987,ERS667646,marine metagenome,0,Monthly monitoring,ERC000027,Niskin,2014-06-21T11:55:00+00,Adriatic Sea,OSD_Institut Ruđer Bošković Rovinj,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,45.08,45.08,13.61,13.61,Adriatic Sea,NPL022,OSD21_2014-06-21_0m_NPL022,Monthly monitoring,ERS667646,37.1,ERS667646,OSD-Jun-2014,Burin,"OSD21,Croatia",19.5,OSD21_2014-06-21_0m_NPL022,Mediterranean,Mediterranean,Fridge,water,3314,project name,project_name,project name,Micro B3,2015-03-03T00:00:00.000,2019-01-16T00:21:35.450,2015-03-04T08:10:57.080,3386901,SAMEA3282987
