parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
deep chlorophyll maxima 			FALSE	meter	http://purl.obolibrary.org/obo/UO_0000008			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
wind speed 	atmospheric wind speed	http://purl.obolibrary.org/obo/ENVO_01001362	TRUE	meter per second	http://purl.obolibrary.org/obo/UO_0000094			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
shortwave radiation 	electromagnetic radiation	http://purl.obolibrary.org/obo/ENVO_01001026	TRUE	watt per square meter	http://purl.obolibrary.org/obo/UO_0000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
daily mean sea level anomaly 			FALSE	centimeter	http://purl.obolibrary.org/obo/UO_0000015			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
mixed layer depth				meter	http://purl.obolibrary.org/obo/UO_0000008			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
dissolved oxygen 	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
dissolved inorganic carbon 	dissolved inorganic carbon	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000142	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
dissolved organic carbon 	dissolved organic carbon	http://purl.obolibrary.org/obo/PMO_00000102	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
particulate carbon	particulate carbon	http://purl.obolibrary.org/obo/PMO_00000150	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
particulate nitrogen	particulate nitrogen	http://purl.obolibrary.org/obo/PMO_00000151	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
particulate phosphorus	particulate phosphorus	http://purl.obolibrary.org/obo/PMO_00000153	TRUE	nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
low-level nitrogen				nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
low-level phosphorus				nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
particulate silica	particulate silica	http://purl.obolibrary.org/obo/PMO_00000165		nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
silicate	concentration of silicate(4-) in water	http://purl.obolibrary.org/obo/ENVO_3100027	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
heterotrophic bacteria cell counts	enumeration of heterotrophic prokaryote aggregation	http://purl.obolibrary.org/obo/PMO_00000162	TRUE	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
Prochlorococcus cell counts	enumeration of Prochlorococcus aggregation	http://purl.obolibrary.org/obo/PMO_00000159	TRUE	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
Synechococcus cell counts	enumeration of Synechococcus aggregation	http://purl.obolibrary.org/obo/PMO_00000160	TRUE	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
Picoeukaryote cell counts	enumeration of picoeukaryote aggregation	http://purl.obolibrary.org/obo/PMO_00000161	TRUE	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
chlorophyll a	concentration of chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100008	TRUE	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
hours of day light				hour	http://purl.obolibrary.org/obo/UO_0000032			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
total autotroph biomass	autotrophic organism biomass carbon aggregation	http://purl.obolibrary.org/obo/PMO_00000163	FALSE	microgram per liter	http://purl.obolibrary.org/obo/UO_0000301			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
chlorophyll c				nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
19'-butanoyloxyfucoxanthin	concentration of 19'-butanoyloxyfucoxanthin in liquid water	http://purl.obolibrary.org/obo/PMO_00000156	TRUE	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
fucoxanthin	concentration of fucoxanthin in water	http://purl.obolibrary.org/obo/ENVO_3100014	TRUE	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
19'-hexanoyloxyfucoxanthin	concentration of 19'-hexanoyloxyfucoxanthin in liquid water	http://purl.obolibrary.org/obo/PMO_00000157	TRUE	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
zeaxanthin	concentration of zeaxanthin in water	http://purl.obolibrary.org/obo/ENVO_3100029	TRUE	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
chlorophyll b	concentration of chlorophyll b in water	http://purl.obolibrary.org/obo/ENVO_3100009	TRUE	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
pH	acidity of water	http://purl.obolibrary.org/obo/ENVO_3100030	TRUE	pH	http://purl.obolibrary.org/obo/UO_0000196			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
phosphate	concentration of phosphate in water	http://purl.obolibrary.org/obo/ENVO_3100026	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
nitrate + nitrite	concentration of nitrate and nitrite in water	http://purl.obolibrary.org/obo/PMO_00000018	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004			http://hahana.soest.hawaii.edu/hot/protocols/protocols.html#	https://www.nature.com/articles/ismej2015221		
