Exp_Omic ID	Sample_ID	Archive_ID	Sample name: 	Instrument: 	Strategy: 	Source: 	Selection: 	Layout: 	sample_prep_method	library_kit	Laboratory protocol - extraction, sequencing, etc
EO_11	S_11	SRS2299117	S0511	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_12	S_12	SRS2299116	S0512	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_13	S_13	SRS2299115	S0513	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_14	S_14	SRS2299114	S0514	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_15	S_15	SRS2299121	S0515	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_16	S_16	SRS2299120	S0516	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_17	S_17	SRS2299119	S0517	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_18	S_18	SRS2299118	S0518	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_19	S_19	SRS2299123	S0519	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_20	S_20	SRS2299122	S0520	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_21	S_21	SRS2299100	S0521	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_22	S_22	SRS2299101	S0522	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_23	S_23	SRS2299098	S0523	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_24	S_24	SRS2299099	S0524	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_25	S_25	SRS2299096	S0525	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_26	S_26	SRS2299097	S0526	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_27	S_27	SRS2299094	S0527	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_28	S_28	SRS2299095	S0528	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_29	S_29	SRS2299102	S0529	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
