Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20120301T1048Z_149_EVENT_PUMP	SV Tara	TARA_20120223Z	TARA_149	High Volume Peristaltic Pump	3/1/12 10:48	34.1132	-49.9181	0.047617	0.047617	0.045426	0.050609361	0.071392827	0.000787121	0.03068604	0.096397644	0.079565596	23	60.83079529	77	45	55	151	167	33	171	14	748	165	18.7348	18.7354	18.7392	18.8901	18.5637	18.7345	18.507	18.73	10.3972	18.6113	36.5797	36.5789	36.5798	36.662	36.7322	36.5791	36.7393	36.5786	35.5225	36.7298	26.1699	26.1708	26.171	26.1993	26.3367	26.1706	26.3567	26.1705	27.1791	26.3227	6.38E-07	9.90E-08	1.00E-07	3.62E-05	1.99E-05	5.50E-08	5.81E-05	3.70E-08	2.38E-05	0.00022662	0.22713	0.25175	0.24256	0.13085	0.040949	0.25646	0.035583	0.23082	0	0.040949	220.217	220.3628	220.1179	211.0393	185.4577	219.5172	184.8566	220.1585	150.1734	186.3297	-1.9507	-1.5492	-2.3687	-0.42556	2.5245	-1.7039	1.208	-1.0498	18.9988	1.136
TARA_20120227T1532Z_148b_Combined-EVENTS_CAST	SV Tara	TARA_20120223Z	TARA_148b	Rosette Vertical Sampling System	2/27/12 15:28	34.1504	-56.9684	NA	0.047255	0.045242	0.055189526	0.078858137	0.000538274	0.036338767	0.096112331	0.079296448	NA	56.33670425	NA	45	55	173	177	43	180	13	781	171	18.933	18.9254	18.9257	18.8856	18.773	18.9322	18.7067	18.9345	10.2785	18.8891	36.6544	36.654	36.6543	36.6597	36.736	36.655	36.7509	36.6545	35.4865	36.6538	26.176	26.1793	26.18	26.1997	26.2868	26.1782	26.3152	26.1759	27.1725	26.1943	1.93E-06	1.44E-07	1.89E-07	5.97E-05	0.00028621	1.56E-07	5.59E-05	5.56E-07	1.06E-05	1.22E-05	0.16578	0.25519	0.23726	0.069351	0.040949	0.25201	0.034662	0.16578	0.0047579	0.087855	219.725	217.8732	218.0102	208.2082	193.3133	218.7641	191.4057	218.491	139.4279	211.1007	-2.8159	-2.8068	-0.64327	0.95238	-1.9906	-2.1999	0.37749	-1.5258	20.6861	0.23251
TARA_20120216T1208Z_146_Combined-EVENTS_CAST	SV Tara	TARA_20120212Z	TARA_146	Rosette Vertical Sampling System	2/16/12 12:01	34.6663	-71.2907	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	64	NA	NA	198	194	13	210	27	637	772	19.378	NA	NA	19.1414	19.2121	19.4031	18.1711	19.375	10.2725	8.036	36.7264	NA	NA	36.6715	36.6727	36.7325	36.6208	36.7211	35.4812	35.2952	26.1156	NA	NA	26.1441	26.1266	26.1137	26.3525	26.1131	27.1662	27.3838	1.31E-06	NA	NA	6.27E-05	1.43E-05	4.60E-07	0.00041444	7.50E-07	2.20E-05	5.99E-06	0.20531	NA	NA	0.16953	0.16953	0.21075	0.04271	0.18462	0.01004	0.035099	213.7487	NA	NA	206.354	210.5958	212.7172	180.2387	213.4626	135.1381	155.3277	2.4971	NA	NA	1.9212	3.2629	2.7151	6.248	0.48133	22.5619	21.7749
TARA_20120215T1254Z_146_EVENT_PUMP	SV Tara	TARA_20120212Z	TARA_146	High Volume Peristaltic Pump	2/15/12 12:54	34.6712	-71.3093	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	64	NA	NA	NA	NA	26	218	956	623	220	NA	NA	NA	NA	NA	19.1298	18.7095	5.5386	10.191	18.1027	NA	NA	NA	NA	NA	36.6352	36.5884	35.2083	35.4704	36.5081	NA	NA	NA	NA	NA	26.1114	26.1925	27.6556	27.1716	26.2838	NA	NA	NA	NA	NA	1.01E-06	0.00022883	9.17E-06	5.76E-06	0.00047904	NA	NA	NA	NA	NA	0.16578	0.091086	0	0	0.080245	NA	NA	NA	NA	NA	214.0927	190.5153	217.1704	135.6579	174.81	NA	NA	NA	NA	NA	0.96025	2.6301	19.8422	22.2088	2.5551
TARA_20120130T2219Z_144_Combined-EVENTS_CAST	SV Tara	TARA_20120126Z	TARA_144	Rosette Vertical Sampling System	1/30/12 22:16	36.4121	-72.9289	NA	0.049006	0.049747	0.0441851	0.064080331	0.001085392	0.019668357	0.102836999	0.085655803	NA	69.34999084	NA	39	47	80	131	16	190	1025	671	544	22.9594	22.9579	22.9658	22.961	22.7887	22.9692	21.5369	5.3444	11.6442	14.8064	36.5772	36.5772	36.5768	36.6106	36.783	36.578	37.029	35.1915	35.6392	36.1358	25.0151	25.0173	25.0152	25.044	25.2271	25.0132	25.7717	27.6665	27.043	26.7819	2.47E-07	6.15E-07	1.36E-06	6.92E-05	5.49E-05	4.65E-07	3.08E-05	NA	1.78E-05	4.91E-05	0.13347	0.14336	0.14757	0.11231	0.037823	0.14223	0.00086501	0.012708	0.003727	0.00057473	199.8544	200.2553	200.4591	198.4036	194.5773	200.5586	146.6029	219.4746	121.5673	150.1462	-0.2369	0.99725	-0.12428	1.4723	0.30312	0.11157	5.1165	19.738	19.1562	10.9583
TARA_20120116T2135Z_143_EVENT_PUMP	SV Tara	TARA_20111230Z	TARA_143	High Volume Peristaltic Pump	1/16/12 21:35	29.851	-79.7064	NA	0.040917	0.042897	0.042832341	0.060026655	0.000773161	0.02002532	0.092383983	0.075784877	18	71.25669098	58	42	52	94	112	14	126	14	612	449	24.7898	24.7909	24.7943	24.8079	24.6261	24.7861	23.3055	24.7861	9.3365	11.9053	36.3852	36.3851	36.3849	36.4222	36.8487	36.3839	37.039	36.3839	35.2678	35.6337	24.3261	24.3278	24.3272	24.354	24.7315	24.3265	25.2697	24.3265	27.1567	26.9839	6.00E-07	5.30E-08	1.48E-07	0.00035316	0.00010744	4.80E-08	0.0007605	4.80E-08	4.74E-05	NA	0.14757	0.14757	0.14193	0.11119	0.040949	0.14757	0.035196	0.14757	0	0.032832	195.0339	195.1124	194.9575	179.5949	170.4356	195.2092	154.2199	195.2092	115.2027	120.5233	0.71614	1.2984	1.2803	0.75894	2.6827	1.1273	3.7814	1.1273	29.9669	24.3221
TARA_20120116T1230Z_143_EVENT_PUMP	SV Tara	TARA_20111230Z	TARA_143	High Volume Peristaltic Pump	1/16/12 12:30	29.6394	-79.5395	NA	0.041047	0.044656	0.042803191	0.060947264	0.00050612	0.023941258	0.095196936	0.078433321	18	71.42368698	56	40	49	94	109	14	127	16	656	639	24.9927	25.028	25.0303	25.0553	24.839	25.0094	23.912	25.0123	9.818	10.6181	36.3841	36.3835	36.3837	36.4184	36.8381	36.3832	36.9818	36.3828	35.339	35.4908	24.2633	24.2543	24.2544	24.2757	24.6585	24.2578	25.0474	24.2568	27.1334	27.1134	3.11E-07	6.75E-07	4.75E-07	0.00010086	0.00030958	NA	0.0001015	1.26E-07	2.24E-06	6.74E-06	0.16578	0.14897	0.14757	0.14889	0.11119	0.16578	0.040949	0.16359	0.004804	0.011278	191.6912	191.9298	191.4646	180.7219	159.3378	191.9686	155.2072	191.648	115.3425	125.2344	-0.99583	0.51876	0.58496	0.98318	1.0114	-0.15797	2.3856	0.79082	28.6762	23.6134
TARA_20120110T1451Z_142_Combined-EVENTS_CAST	SV Tara	TARA_20111230Z	TARA_142	Rosette Vertical Sampling System	1/10/12 14:49	25.6236	-88.45	NA	NA	0.039164	0.042309623	0.061748819	0.000807346	0.017753023	0.086039871	0.069833615	24	72.22461319	77	49	61	145	147	33	156	14	654	740	24.9252	24.9342	24.9369	24.9525	24.8279	24.9298	24.2421	24.9266	9.4673	7.9022	36.3459	36.3458	36.3457	36.3624	36.5893	36.3462	36.9479	36.3457	35.3026	35.1322	24.2552	24.255	24.255	24.2683	24.4772	24.2556	24.925	24.2549	27.1633	27.2756	8.90E-08	4.50E-08	6.10E-08	0.0002157	0.0019611	2.40E-08	0.00011157	6.20E-08	9.84E-06	1.38E-05	0.14757	0.14541	0.14073	0.1299	0.1299	0.16578	0.040949	0.15146	0.0034451	0.040949	195.523	194.4291	195.1071	167.1175	152.0644	195.2242	148.8419	195.9662	107.3484	116.5718	-1.2021	0.46557	0.076707	-1.352	-0.28055	-0.48329	2.4657	0.016372	31.9271	32.8264
TARA_20120109T1341Z_142_EVENT_PUMP	SV Tara	TARA_20111230Z	TARA_142	High Volume Peristaltic Pump	1/9/12 13:41	25.5264	-88.394	NA	NA	0.03998	0.042510904	0.061689431	0.000842629	0.017643343	0.087475186	0.071177387	24	71.98257446	77	48	60	150	151	117	160	13	606	975	24.9653	24.9846	24.9894	24.9996	24.954	25.0017	24.2695	24.973	10.4407	5.7897	36.3652	36.3671	36.3685	36.4	36.47	36.3697	36.948	36.3662	35.4337	35.0753	24.2575	24.2557	24.256	24.2826	24.3492	24.2569	24.9171	24.2561	27.0994	27.5204	1.66E-07	1.21E-07	NA	0.00033758	0.0017045	1.93E-07	0.00032903	NA	7.51E-06	1.52E-06	0.16732	0.16578	0.16578	0.13293	0.13011	0.17713	0.0019217	0.16761	0.020821	0.040949	194.3154	193.7605	194.2234	154.2092	152.373	193.1479	147.9592	193.9157	106.5425	148.5609	-2.0795	-1.9882	-1.8767	-2.1627	-2.1258	-2.2604	0.87488	-2.1489	27.0344	28.0729
TARA_20111230T1335Z_141_EVENT_PUMP	SV Tara	TARA_20111230Z	TARA_141	High Volume Peristaltic Pump	12/30/11 13:35	9.8481	-80.0454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	34	38	66	13	488	968	27.3208	NA	NA	27.3208	27.1269	27.0247	25.1581	27.6268	9.0082	5.2599	34.8189	NA	NA	34.8189	35.9132	35.919	36.7767	35.4299	35.1765	35.0779	22.3576	NA	NA	22.3576	23.2416	23.2791	24.5116	22.7164	27.1362	27.5862	0.0013905	NA	NA	0.0013905	0.00020303	4.06E-05	0.00058277	0.00041091	1.85E-06	4.02E-06	0.12533	NA	NA	0.12533	0.15784	0.17791	0.096005	0.08322	0.033384	0	194.8088	NA	NA	194.8088	186.7072	185.1706	158.2875	192.5609	115.1881	167.3564	-2.0278	NA	NA	-2.0278	-2.5508	0.15261	-0.53399	-2.2412	27.2799	25.2019
TARA_20111221T1620Z_140_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_140	High Volume Peristaltic Pump	12/21/11 16:20	7.4122	-79.3017	NA	0.0595	0.053142	0.050692758	0.079170853	0.001885696	0.017785107	0.107597542	0.090176924	14	60.5803833	51	39	47	11	26	23	42	14	360	52	26.491	23.6186	21.4205	26.4922	26.2974	26.4693	23.0463	26.519	9.6629	17.6992	29.1499	33.3828	34.0417	29.1767	31.9391	31.7779	33.4163	29.5693	34.8719	34.7381	18.3765	22.4166	23.5352	18.3962	20.5253	20.3509	22.6071	18.6818	26.79	25.027	0.00022077	0.00092219	0.0032881	0.00028163	0.00048743	0.00080412	0.001235	0.0014795	2.32E-06	0.0021849	0.072174	0.2804	0.193	0.073566	0.43287	0.4307	0.24386	0.10559	0	0.18188	205.073	116.5286	76.369	205.2409	169.6568	172.0144	106.204	202.5407	0.92684	47.7563	-4.1551	4.5985	10.3652	-4.5044	-2.897	-4.0547	5.1224	-4.492	32.5307	16.2011
