SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_R100001594	SAMEA2622752	ERS492797	TARA_123	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	150	0.22	TARA_123_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MIX_(150m)_SEQ-(FeCl3)_W<0.22_R100001594	0.44323	P00DT12H53M	"tara_20110801t0501z_123_event_cast,tara_20110731t2007z_123_event_cast"	3	0.0059	0.0059	0.006075	0.00625	0.00625	0.00475	0.00475	0.004775	0.0048	0.0048	0	0	0	0	0	0.0012	0.0012	0.001225	0.00125	0.00125	0.002	0.002	0.002	0.002	0.002	0.00605	0.00605	0.006175	0.0063	0.0063	0.00085	0.00085	0.000925	0.001	0.001	0.00245	0.00245	0.0025	0.00255	0.00255	0	0	0	0	0	0.00035	0.00035	0.00035	0.00035	0.00035	0.0132	0.0132	0.013375	0.01355	0.01355	0.00105	0.00105	0.001075	0.0011	0.0011	0	0	0	0	0	0	0	0	0	0	0.0055	0.0055	0.00555	0.0056	0.0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271	0.0271	0.0273	0.0275	0.0275	0.0271	0.0271	0.0273	0.0275	0.0275	0.019	0.019	0.0191	0.0192	0.0192	0.0389	0.0389	0.039125	0.03935	0.03935	0.0581	0.0581	0.058225	0.05835	0.05835	0	0	0	0	0	0.00585	0.00585	0.005925	0.006	0.006
TARA_R100001591	SAMEA2622725	ERS492748	TARA_123	TARA_20110731T1720Z_123_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_123_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110731T1720Z_123_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001591	0.27204	P00DT02H46M	"tara_20110731t2007z_123_event_cast,tara_20110801t0501z_123_event_cast"	2	0.0154	0.0154	0.0154	0.0154	0.0154	0.0142	0.0142	0.0142	0.0142	0.0142	0	0	0	0	0	0.00605	0.00605	0.00605	0.00605	0.00605	0.0036	0.0036	0.0036	0.0036	0.0036	0.01	0.01	0.01	0.01	0.01	0.0092	0.0092	0.0092	0.0092	0.0092	0.0023	0.0023	0.0023	0.0023	0.0023	0.00155	0.00155	0.00155	0.00155	0.00155	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.03115	0.03115	0.03115	0.03115	0.03115	0.0039	0.0039	0.0039	0.0039	0.0039	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0.01325	0.01325	0.01325	0.01325	0.01325	0	0	0	0	0	0.00125	0.00125	0.00125	0.00125	0.00125	0	0	0	0	0	0.03185	0.03185	0.03185	0.03185	0.03185	0.03185	0.03185	0.03185	0.03185	0.03185	0	0	0	0	0	0.1781	0.1781	0.1781	0.1781	0.1781	0.1781	0.1781	0.1781	0.1781	0.1781	0.00225	0.00225	0.00225	0.00225	0.00225	0.00585	0.00585	0.00585	0.00585	0.00585
TARA_R100000664	SAMEA2622705	ERS492714	TARA_122	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	0.22	TARA_122_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_DCM_(115m)_SEQ-(FeCl3)_W<0.22_R100000664	6.9563	P01DT20H02M	tara_20110726t2114z_122_event_cast	2	0.0143	0.0143	0.0144	0.0145	0.0145	0.0173	0.0173	0.0177	0.0181	0.0181	0	0	0	0	0	0.0051	0.0051	0.0051	0.0051	0.0051	0	0	0	0	0	0.0107	0.0107	0.0107	0.0107	0.0107	0.0026	0.0026	0.0028	0.003	0.003	0.0093	0.0093	0.0093	0.0093	0.0093	0	0	0	0	0	0.0016	0.0016	0.00165	0.0017	0.0017	0.0244	0.0244	0.0246	0.0248	0.0248	0.0019	0.0019	0.00195	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0.0337	0.0337	0.03415	0.0346	0.0346	0	0	0	0	0	0.0011	0.0011	0.0011	0.0011	0.0011	0	0	0	0	0	0.1202	0.1202	0.12515	0.1301	0.1301	0.1202	0.1202	0.12515	0.1301	0.1301	0.1061	0.1061	0.1082	0.1103	0.1103	0.1048	0.1048	0.10525	0.1057	0.1057	0.2118	0.2118	0.21345	0.2151	0.2151	0.0024	0.0024	0.00245	0.0025	0.0025	0.0207	0.0207	0.0211	0.0215	0.0215
TARA_R100000687	SAMEA2622685	ERS492692	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	0.22	TARA_122_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MES_(600m)_SEQ-(FeCl3)_W<0.22_R100000687	4.8663	P00DT22H15M	tara_20110726t2114z_122_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000657	SAMEA2622667	ERS492657	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_122_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000657	0.62988	P00DT04H02M	tara_20110726t2114z_122_event_cast	1	0.0044	0.0044	0.0044	0.0044	0.0044	0.0082	0.0082	0.0082	0.0082	0.0082	0	0	0	0	0	0.0036	0.0036	0.0036	0.0036	0.0036	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0041	0.0041	0.0041	0.0041	0.0041	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0.0139	0.0139	0.0139	0.0139	0.0139	0.0016	0.0016	0.0016	0.0016	0.0016	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04	0.0479	0.0479	0.0479	0.0479	0.0479	0.0068	0.0068	0.0068	0.0068	0.0068	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0387	0.0387	0.0387	0.0387	0.0387	0.0387	0.0387	0.0387	0.0387	0.0387	0.0557	0.0557	0.0557	0.0557	0.0557	0.0705	0.0705	0.0705	0.0705	0.0705	0.1262	0.1262	0.1262	0.1262	0.1262	0	0	0	0	0	0.0081	0.0081	0.0081	0.0081	0.0081
TARA_R100000656	SAMEA2622517	ERS492399	TARA_111	TARA_20110601T1603Z_111_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	350	0.22	TARA_111_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110601T1603Z_111_Combined-EVENTS_CAST_MES_(350m)_SEQ-(FeCl3)_W<0.22_R100000656	0.003543	P00DT00H00M	"tara_20110601t1603z_111_event_cast,tara_20110531t1803z_111_event_cast"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0
TARA_R100000655	SAMEA2622497	ERS492376	TARA_111	TARA_20110531T2030Z_111_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	90	0.22	TARA_111_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_DCM_(90m)_SEQ-(FeCl3)_W<0.22_R100000655	1.1869	P00DT02H28M	"tara_20110531t1803z_111_event_cast,tara_20110601t1603z_111_event_cast"	3	0.0141	0.014325	0.015	0.01965	0.0212	0.0138	0.014325	0.0159	0.02055	0.0221	0	0	0	0	0	0.0033	0.00385	0.0055	0.00985	0.0113	0	0	0	0	0	0.0123	0.01275	0.0141	0.021075	0.0234	0.0026	0.002825	0.0035	0.006125	0.007	0.0033	0.00365	0.0047	0.0062	0.0067	0	0	0	0	0	7.00E-04	0.000725	8.00E-04	0.001025	0.0011	0.0314	0.031675	0.0325	0.051775	0.0582	0.0015	0.00165	0.0021	0.00315	0.0035	0	0	0	0	0	0	0	0	0.0015	0.002	0.0222	0.022875	0.0249	0.027675	0.0286	0	0.000125	5.00E-04	0.000875	0.001	0	0	0	0	0	0	0	0	0.017475	0.0233	0.0731	0.075525	0.0828	0.085875	0.0869	0.0828	0.083825	0.0869	0.094025	0.0964	0.0545	0.05645	0.0623	0.07115	0.0741	0.0659	0.0705	0.0843	0.10875	0.1169	0.1401	0.141725	0.1466	0.1652	0.1714	0	0	0	0	0	0.0099	0.01035	0.0117	0.011925	0.012
TARA_R100000654	SAMEA2622473	ERS492342	TARA_111	TARA_20110531T1425Z_111_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_111_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110531T1425Z_111_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000654	4.233	P00DT03H34M	"tara_20110531t1803z_111_event_cast,tara_20110601t1603z_111_event_cast"	1	0.0044	0.0044	0.0044	0.0044	0.0044	0.0052	0.0052	0.0052	0.0052	0.0052	0	0	0	0	0	0.0031	0.0031	0.0031	0.0031	0.0031	0	0	0	0	0	0.0041	0.0041	0.0041	0.0041	0.0041	0.0027	0.0027	0.0027	0.0027	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0.0134	0.0134	0.0134	0.0134	0.0017	0.0017	0.0017	0.0017	0.0017	0	0	0	0	0	0	0	0	0	0	0.0287	0.0287	0.0287	0.0287	0.0287	0.0011	0.0011	0.0011	0.0011	0.0011	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0.0166	0.0166	0.0166	0.0166	0.0166	0.0166	0.0166	0.0166	0.0166	0.0166	0.0256	0.0256	0.0256	0.0256	0.0256	0.0394	0.0394	0.0394	0.0394	0.0394	0.065	0.065	0.065	0.065	0.065	0	0	0	0	0	0.0032	0.0032	0.0032	0.0032	0.0032
TARA_R100001463	SAMEA2622242	ERS492035	TARA_102	TARA_20110422T2113Z_102_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	0.22	TARA_102_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T2113Z_102_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100001463	2.7093	P00DT01H21M	"tara_20110422t1953z_102_event_cast,tara_20110422t1517z_102_event_cast"	1	0.031	0.031	0.031	0.031	0.031	0.0435	0.0435	0.0435	0.0435	0.0435	0	0	0	0	0	0.0058	0.0058	0.0058	0.0058	0.0058	0	0	0	0	0	0.038	0.038	0.038	0.038	0.038	0.018	0.018	0.018	0.018	0.018	0.0334	0.0334	0.0334	0.0334	0.0334	0.0036	0.0036	0.0036	0.0036	0.0036	0.0123	0.0123	0.0123	0.0123	0.0123	0.0663	0.0663	0.0663	0.0663	0.0663	0.0044	0.0044	0.0044	0.0044	0.0044	0	0	0	0	0	0	0	0	0	0	0.0877	0.0877	0.0877	0.0877	0.0877	0.0084	0.0084	0.0084	0.0084	0.0084	0.0024	0.0024	0.0024	0.0024	0.0024	0.0531	0.0531	0.0531	0.0531	0.0531	0.195	0.195	0.195	0.195	0.195	0.2482	0.2482	0.2482	0.2482	0.2482	0.1185	0.1185	0.1185	0.1185	0.1185	0.3323	0.3323	0.3323	0.3323	0.3323	0.4508	0.4508	0.4508	0.4508	0.4508	0.0083	0.0083	0.0083	0.0083	0.0083	0.0341	0.0341	0.0341	0.0341	0.0341
TARA_R100001480	SAMEA2622212	ERS491995	TARA_102	TARA_20110422T1210Z_102_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	480	0.22	TARA_102_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110422T1210Z_102_Combined-EVENTS_CAST_MES_(480m)_SEQ-(FeCl3)_W<0.22_R100001480	6.8108	P00DT03H05M	"tara_20110422t1517z_102_event_cast,tara_20110422t1953z_102_event_cast"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04
TARA_R100001460	SAMEA2622190	ERS491955	TARA_102	TARA_20110421T2007Z_102_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_102_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110421T2007Z_102_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001460	8.4227	P00DT19H06M	"tara_20110422t1517z_102_event_cast,tara_20110422t1953z_102_event_cast"	2	0.0111	0.0111	0.01195	0.0128	0.0128	0.0128	0.0128	0.01435	0.0159	0.0159	0	0	0	0	0	0.0034	0.0034	0.0038	0.0042	0.0042	0	0	0	0	0	0.0045	0.0045	0.00475	0.005	0.005	0.0063	0.0063	0.00655	0.0068	0.0068	0.0095	0.0095	0.0104	0.0113	0.0113	0	0	0	0	0	0.0087	0.0087	0.0105	0.0123	0.0123	0.0314	0.0314	0.0318	0.0322	0.0322	0.0028	0.0028	0.00315	0.0035	0.0035	0	0	0	0	0	7.00E-04	7.00E-04	0.00095	0.0012	0.0012	0.0787	0.0787	0.0801	0.0815	0.0815	0.0272	0.0272	0.02775	0.0283	0.0283	0.0013	0.0013	0.00135	0.0014	0.0014	0	0	0	0	0	0.0824	0.0824	0.09665	0.1109	0.1109	0.0824	0.0824	0.09665	0.1109	0.1109	0.0407	0.0407	0.04415	0.0476	0.0476	0.181	0.181	0.1885	0.196	0.196	0.2217	0.2217	0.23265	0.2436	0.2436	0.0028	0.0028	0.00295	0.0031	0.0031	0.0126	0.0126	0.01295	0.0133	0.0133
TARA_R100001530	SAMEA2622166	ERS491930	TARA_100	TARA_20110416T1306Z_100_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	177	0.22	TARA_100_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110416T1306Z_100_Combined-EVENTS_CAST_DCM_(177m)_SEQ-(FeCl3)_W<0.22_R100001530	0.005172	P00DT00H00M	"tara_20110416t1306z_100_event_cast,tara_20110416t1614z_100_event_cast,tara_20110416t1716z_100_event_cast,tara_20110415t1312z_100_event_cast"	4	0	0	0	0	0	0.001275	0.001275	0.001275	0.001275	0.001275	0	0	0	0	0	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	0	0	0	0	0	1.00E-04	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0.0023	0.0023	0.0023	0.0023	0.000125	0.000125	0.000125	0.000125	0.000125	0	0	0	0	0	0	0	0	0	0	0.00095	0.00095	0.00095	0.00095	0.00095	0	0	0	0	0	0	0	0	0	0	0.0872	0.0872	0.0872	0.0872	0.0872	0.000625	0.000625	0.000625	0.000625	0.000625	0.087825	0.087825	0.087825	0.087825	0.087825	0.03345	0.03345	0.03345	0.03345	0.03345	0.007	0.007	0.007	0.007	0.007	0.040425	0.040425	0.040425	0.040425	0.040425	0.003	0.003	0.003	0.003	0.003	0.02205	0.02205	0.02205	0.02205	0.02205
TARA_R100001443	SAMEA2622142	ERS491897	TARA_100	TARA_20110415T1938Z_100_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	0.22	TARA_100_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110415T1938Z_100_EVENT_PUMP_DCM_(50m)_SEQ-(FeCl3)_W<0.22_R100001443	1.4297	P00DT06H27M	"tara_20110415t1312z_100_event_cast,tara_20110416t1306z_100_event_cast,tara_20110416t1614z_100_event_cast,tara_20110416t1716z_100_event_cast"	1	0.0122	0.0122	0.0122	0.0122	0.0122	0.019	0.019	0.019	0.019	0.019	0	0	0	0	0	0.0093	0.0093	0.0093	0.0093	0.0093	0	0	0	0	0	0.0099	0.0099	0.0099	0.0099	0.0099	0.0096	0.0096	0.0096	0.0096	0.0096	0.0061	0.0061	0.0061	0.0061	0.0061	0	0	0	0	0	0.002	0.002	0.002	0.002	0.002	0.0322	0.0322	0.0322	0.0322	0.0322	0.0034	0.0034	0.0034	0.0034	0.0034	0	0	0	0	0	0	0	0	0	0	0.0521	0.0521	0.0521	0.0521	0.0521	0.0045	0.0045	0.0045	0.0045	0.0045	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0732	0.0732	0.0732	0.0732	0.0732	0.0732	0.0732	0.0732	0.0732	0.0732	0.064	0.064	0.064	0.064	0.064	0.1541	0.1541	0.1541	0.1541	0.1541	0.2182	0.2182	0.2182	0.2182	0.2182	0.0026	0.0026	0.0026	0.0026	0.0026	0.0125	0.0125	0.0125	0.0125	0.0125
TARA_R100001440	SAMEA2622112	ERS491851	TARA_100	TARA_20110415T1245Z_100_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_100_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110415T1245Z_100_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001440	1.3546	P00DT00H25M	"tara_20110415t1312z_100_event_cast,tara_20110416t1306z_100_event_cast,tara_20110416t1614z_100_event_cast,tara_20110416t1716z_100_event_cast"	1	0.0056	0.0056	0.0056	0.0056	0.0056	0.0103	0.0103	0.0103	0.0103	0.0103	0	0	0	0	0	0.0047	0.0047	0.0047	0.0047	0.0047	0	0	0	0	0	0.0049	0.0049	0.0049	0.0049	0.0049	0.0066	0.0066	0.0066	0.0066	0.0066	0.0017	0.0017	0.0017	0.0017	0.0017	0	0	0	0	0	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	0.0171	0.0171	0.0171	0.0171	0.0171	0.002	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0.0366	0.0366	0.0366	0.0366	0.0366	0.0032	0.0032	0.0032	0.0032	0.0032	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0	0.0264	0.0264	0.0264	0.0264	0.0264	0.0264	0.0264	0.0264	0.0264	0.0264	0.0376	0.0376	0.0376	0.0376	0.0376	0.0802	0.0802	0.0802	0.0802	0.0802	0.1177	0.1177	0.1177	0.1177	0.1177	0	0	0	0	0	0.0057	0.0057	0.0057	0.0057	0.0057
TARA_R100001244	SAMEA2621564	ERS491123	TARA_085	TARA_20110107T1041Z_085_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	790	0.22	TARA_085_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110107T1041Z_085_Combined-EVENTS_CAST_MES_(790m)_SEQ-(FeCl3)_W<0.22_R100001244	27.1732	P00DT17H23M	tara_20110106t1718z_085_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100001369	SAMEA2621528	ERS491063	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_085_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110106T1038Z_085_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100001369	21.6469	P00DT06H37M	tara_20110106t1718z_085_event_cast	2	0.0103	0.0103	0.0105	0.0107	0.0107	0.0168	0.0168	0.01855	0.0203	0.0203	0.0031	0.0031	0.0076	0.0121	0.0121	0	0	0.0016	0.0032	0.0032	0.0112	0.0112	0.0155	0.0198	0.0198	0.0035	0.0035	0.00375	0.004	0.004	0.0265	0.0265	0.02675	0.027	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0727	0.0727	0.0732	0.0737	0.0737	0.0204	0.0204	0.0224	0.0244	0.0244	0.0021	0.0021	0.00235	0.0026	0.0026	0.0038	0.0038	0.004	0.0042	0.0042	0.0022	0.0022	0.00225	0.0023	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0821	0.0821	0.09175	0.1014	0.1014	0.0853	0.0853	0.09935	0.1134	0.1134	0	0	0.0015	0.003	0.003	0.0017	0.0017	0.002	0.0023	0.0023
TARA_R100000935	SAMEA2621502	ERS491016	TARA_084	TARA_20110103T1105Z_084_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_084_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110103T1105Z_084_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000935	601.3923	P06DT06H22M	tara_20110109t1726z_086_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
