sample_event_ID	sample_Alias	ArchiveID_biosample	Description	ENA checklist	INSDC center name	ArchiveID_SRAaccession	sample_name	upper_filtration_size	lower_filtration_size	ammonia	chlorophyll	collection_dateTime	depth	diss_oxygen	env_biome	env_feature	env_package	geo_loc_name	lat	lon	nitrate	nitrite	pH	phosphate	salinity	silicate	temp	total_depth_water_col	urea
SE_69	jcvi_beyster_201508_GS619_0p8	SAMEA3512133	"Water sample taken on 2009-04-03 05:46 PM +0000 from site GS619 (lat:7.1635003, long:-81.71143), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819282	GS619	3	0.8	0.482	17.6	2009-04-03T17:46:00	20		ocean biome	coastal bloom	water	North Pacific Ocean:Tropical East Pacific:Nicoya Marine Ecoregion:Panama	7.1635003	-81.71143	5.182	0.245	8.62	0.509	33.3	6.13	25.8	466.5	0.406
SE_69	jcvi_beyster_201508_GS619_0p1	SAMEA3512132	"Water sample taken on 2009-04-03 05:46 PM +0000 from site GS619 (lat:7.1635003, long:-81.71143), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819281	GS619	0.8	0.1	0.482	17.6	2009-04-03T17:46:00	20		ocean biome	coastal bloom	water	North Pacific Ocean:Tropical East Pacific:Nicoya Marine Ecoregion:Panama	7.1635003	-81.71143	5.182	0.245	8.62	0.509	33.3	6.13	25.8	466.5	0.406
SE_70	jcvi_beyster_201508_GS642_3p0	SAMEA3512137	"Water sample taken on 2009-05-21 11:00 AM +0000 from site GS642 (lat:50.249832, long:-4.216942), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England , the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819286	GS642	20	3	0.223	1.5	2009-05-21T11:00:00	17	6.1	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.249832	-4.216942	0.252	<0.03 (below detection)	8.4	0.035	35	1.171	11	55	0.257
SE_70	jcvi_beyster_201508_GS642_0p8	SAMEA3512136	"Water sample taken on 2009-05-21 11:00 AM +0000 from site GS642 (lat:50.249832, long:-4.216942), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England , the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819285	GS642	3	0.8	0.223	1.5	2009-05-21T11:00:00	17	6.1	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.249832	-4.216942	0.252	<0.03 (below detection)	8.4	0.035	35	1.171	11	55	0.257
SE_70	jcvi_beyster_201508_GS642_0p1	SAMEA3512135	"Water sample taken on 2009-05-21 11:00 AM +0000 from site GS642 (lat:50.249832, long:-4.216942), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England , the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819284	GS642	0.8	0.1	0.223	1.5	2009-05-21T11:00:00	17	6.1	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.249832	-4.216942	0.252	<0.03 (below detection)	8.4	0.035	35	1.171	11	55	0.257
SE_70	jcvi_beyster_201508_GS643_3p0	SAMEA3512140	"Water sample taken on 2009-05-21 11:00 AM +0000 from site GS643 (lat:50.249832, long:-4.216942), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819289	GS643	20	3	0.222	0.5	2009-05-21T11:00:00	2	6.1	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.249832	-4.216942	0.559	<0.03 (below detection)	8.4	0.025	35	1.576	12	55	0.27
SE_70	jcvi_beyster_201508_GS643_0p8	SAMEA3512139	"Water sample taken on 2009-05-21 11:00 AM +0000 from site GS643 (lat:50.249832, long:-4.216942), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819288	GS643	3	0.8	0.222	0.5	2009-05-21T11:00:00	2	6.1	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.249832	-4.216942	0.559	<0.03 (below detection)	8.4	0.025	35	1.576	12	55	0.27
SE_70	jcvi_beyster_201508_GS643_0p1	SAMEA3512138	"Water sample taken on 2009-05-21 11:00 AM +0000 from site GS643 (lat:50.249832, long:-4.216942), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819287	GS643	0.8	0.1	0.222	0.5	2009-05-21T11:00:00	2	6.1	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.249832	-4.216942	0.559	<0.03 (below detection)	8.4	0.025	35	1.576	12	55	0.27
SE_71	jcvi_beyster_201508_GS644_3p0	SAMEA3512143	"Water sample taken on 2009-05-28 09:30 AM +0000 from site GS644 (lat:50.02885, long:-4.3367), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819292	GS644	20	3	1.151	0.7	2009-05-28T09:30:00	70	6.2	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.02885	-4.3367	1.365	<0.03 (below detection)	8.3	0.202	35.28	2.078	10.77	73.2	0.583
SE_71	jcvi_beyster_201508_GS644_0p8	SAMEA3512142	"Water sample taken on 2009-05-28 09:30 AM +0000 from site GS644 (lat:50.02885, long:-4.3367), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819291	GS644	3	0.8	1.151	0.7	2009-05-28T09:30:00	70	6.2	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.02885	-4.3367	1.365	<0.03 (below detection)	8.3	0.202	35.28	2.078	10.77	73.2	0.583
SE_71	jcvi_beyster_201508_GS644_0p1	SAMEA3512141	"Water sample taken on 2009-05-28 09:30 AM +0000 from site GS644 (lat:50.02885, long:-4.3367), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819290	GS644	0.8	0.1	1.151	0.7	2009-05-28T09:30:00	70	6.2	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.02885	-4.3367	1.365	<0.03 (below detection)	8.3	0.202	35.28	2.078	10.77	73.2	0.583
SE_72	jcvi_beyster_201508_GS647_3p0	SAMEA3512146	"Water sample taken on 2009-05-28 11:15 AM +0000 from site GS647 (lat:50.02885, long:-4.3367), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819295	GS647	20	3	0.138	0.46	2009-05-28T11:15:00	1	5.98	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.02885	-4.3367	0.268	<0.03 (below detection)	8.4	<0.03 (below detection)	35.18	0.657	12.44	73.2	0.09
SE_72	jcvi_beyster_201508_GS647_0p8	SAMEA3512145	"Water sample taken on 2009-05-28 11:15 AM +0000 from site GS647 (lat:50.02885, long:-4.3367), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819294	GS647	3	0.8	0.138	0.46	2009-05-28T11:15:00	1	5.98	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.02885	-4.3367	0.268	<0.03 (below detection)	8.4	<0.03 (below detection)	35.18	0.657	12.44	73.2	0.09
SE_72	jcvi_beyster_201508_GS647_0p1	SAMEA3512144	"Water sample taken on 2009-05-28 11:15 AM +0000 from site GS647 (lat:50.02885, long:-4.3367), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of England, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge England as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819293	GS647	0.8	0.1	0.138	0.46	2009-05-28T11:15:00	1	5.98	ocean biome	Coastal	water	United Kingdom: North Atlantic Ocean:Northern European Seas:Celtic Seas Marine Ecoregion	50.02885	-4.3367	0.268	<0.03 (below detection)	8.4	<0.03 (below detection)	35.18	0.657	12.44	73.2	0.09
SE_73	jcvi_beyster_201508_GS651_0p8	SAMEA3512148	"Water sample taken on 2009-06-06 07:35 AM +0000 from site GS651 (lat:54.268715, long:7.1871166), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Germany, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Germany as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819297	GS651	3	0.8	0.441	1.1	2009-06-06T07:35:00	1	6.1	ocean biome	Coastal	water	"North Atlantic Ocean:Northern European Seas:North Sea Marine Ecoregion:Helgoland,Germany"	54.268715	7.1871166	2.476	0.062	8.47	<0.03 (below detection)	32.6	1.217	12.29	36	0.323
SE_73	jcvi_beyster_201508_GS651_0p1	SAMEA3512147	"Water sample taken on 2009-06-06 07:35 AM +0000 from site GS651 (lat:54.268715, long:7.1871166), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Germany, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Germany as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819296	GS651	0.8	0.1	0.441	1.1	2009-06-06T07:35:00	1	6.1	ocean biome	Coastal	water	"North Atlantic Ocean:Northern European Seas:North Sea Marine Ecoregion:Helgoland,Germany"	54.268715	7.1871166	2.476	0.062	8.47	<0.03 (below detection)	32.6	1.217	12.29	36	0.323
