parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format	COMMENT
csal	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	parts per thousand	http://purl.obolibrary.org/obo/UO_0000168				https://doi.org/10.1038/s41564-017-0008-3	number		PSS-78
coxy	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
bsal	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	parts per thousand	http://purl.obolibrary.org/obo/UO_0000168				https://doi.org/10.1038/s41564-017-0008-3	number		PSS-78
boxy	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
dic	dissolved inorganic carbon	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000142	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
ph	acidity of water	http://purl.obolibrary.org/obo/ENVO_3100030	pH	http://purl.obolibrary.org/obo/UO_0000196				https://doi.org/10.1038/s41564-017-0008-3	number		
alk	alkalinity of water	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000139	microequivalent per kilogram	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000141				https://doi.org/10.1038/s41564-017-0008-3	number		ueq/kg
phos	concentration of phosphate in water	http://purl.obolibrary.org/obo/ENVO_3100026	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
nit	concentration of nitrate and nitrite in water	http://purl.obolibrary.org/obo/PMO_00000018	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
sil	concentration of silicic acid in water	http://purl.obolibrary.org/obo/ENVO_3100034	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
doc	dissolved organic carbon	http://purl.obolibrary.org/obo/PMO_00000102	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
pc	particulate carbon	http://purl.obolibrary.org/obo/PMO_00000150	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
pn	particulate nitrogen	http://purl.obolibrary.org/obo/PMO_00000151	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1038/s41564-017-0008-3	number		umol/kg
pp	particulate phosphorus	http://purl.obolibrary.org/obo/PMO_00000153	nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154				https://doi.org/10.1038/s41564-017-0008-3	number		nmol/kg
lln			nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154				https://doi.org/10.1038/s41564-017-0008-3	number		nmol/kg
llp			nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154				https://doi.org/10.1038/s41564-017-0008-3	number		nmol/kg
chl	concentration of chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100008	microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.org/10.1038/s41564-017-0008-3	number		ug/l
phaeo			microgram per liter	http://purl.obolibrary.org/obo/UO_0000301				https://doi.org/10.1038/s41564-017-0008-3	number		ug/l
chlplus			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
perid	concentration of peridinin in water	http://purl.obolibrary.org/obo/ENVO_3100025	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
but19	concentration of 19'-butanoyloxyfucoxanthin in liquid water	http://purl.obolibrary.org/obo/PMO_00000156	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
fuco	concentration of fucoxanthin in water	http://purl.obolibrary.org/obo/ENVO_3100014	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
hex19	concentration of 19'-hexanoyloxyfucoxanthin in liquid water	http://purl.obolibrary.org/obo/PMO_00000157	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
prasino			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
diadino			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
zeaxan	concentration of zeaxanthin in water	http://purl.obolibrary.org/obo/ENVO_3100029	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
chlb	concentration of chlorophyll b in water	http://purl.obolibrary.org/obo/ENVO_3100009	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
hplc	concentration of chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100008	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
acar			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
bcar			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
caroten	concentration of carotene in water	http://purl.obolibrary.org/obo/ENVO_3100007	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
chlda			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
viol	concentration of violaxanthin in water	http://purl.obolibrary.org/obo/ENVO_3100028	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
lutein	concentration of lutein in water	http://purl.obolibrary.org/obo/ENVO_3100019	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
mvchla			nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
dvchla	concentration of divinyl chlorophyll a in water	http://purl.obolibrary.org/obo/ENVO_3100012	nanogram per liter	http://purl.obolibrary.org/obo/PMO_00000155				https://doi.org/10.1038/s41564-017-0008-3	number		ng/l
hbact	enumeration of heterotrophic prokaryote aggregation	http://purl.obolibrary.org/obo/PMO_00000162	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201				https://doi.org/10.1038/s41564-017-0008-3	number		#*1e5/ml
pbact	enumeration of Prochlorococcus aggregation	http://purl.obolibrary.org/obo/PMO_00000159	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201				https://doi.org/10.1038/s41564-017-0008-3	number		#*1e5/ml
sbact	enumeration of Synechococcus aggregation	http://purl.obolibrary.org/obo/PMO_00000160	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201				https://doi.org/10.1038/s41564-017-0008-3	number		#*1e5/ml
ebact	enumeration of picoeukaryote aggregation	http://purl.obolibrary.org/obo/PMO_00000161	cells per milliliter	http://purl.obolibrary.org/obo/UO_0000201				https://doi.org/10.1038/s41564-017-0008-3	number		#*1e5/ml
atp	concentration of Adenosine 5-triphosphate in water	http://purl.obolibrary.org/obo/ENVO_3100001	nanogram per kilogram	http://purl.obolibrary.org/obo/PMO_00000178				https://doi.org/10.1038/s41564-017-0008-3	number		ng/kg
psi	particulate silica	http://purl.obolibrary.org/obo/PMO_00000165	nanomole per kilogram	http://purl.obolibrary.org/obo/PMO_00000154				https://doi.org/10.1038/s41564-017-0008-3	number		nmol/kg
l12			miligram per cubic meter	http://purl.obolibrary.org/obo/PMO_00000132				https://doi.org/10.1038/s41564-017-0008-3	number		mg C/m3
DCM position								https://doi.org/10.1038/s41564-017-0008-3	string		
