sampling_event_ID	BioSample	Conductivity	Depth	Dissolved_Oxygen	Latitude	Longitude	Pressure	Salinity	Temperature	cast_ID	decimal_year	filename	Decimal_date_deployed	Decimal_date_recovered	Decimal_day_deployed	Latitude_CTD_deployed	Longitude_CTD_deployed	info_filename	ISO_datetime_deployed	ISO_datetime_recovered	cruise_type	cruise_number	cast_number	cruise_type_text
BATS_186_4_2004-03-23_19:48:00	SAMN07137074	4.9839	59.6	224.33	31.77	-64.052	60	36.672	19.87	10186004	2004.224178	b10186_ctd.txt	2004.224178	2004.224353	83.825	31.77	-64.052	b10186_info.txt	2004-03-23T19:48:00	2004-03-23T21:20:00	1	186	4	BATS_core
BATS_186_4_2004-03-23_19:48:00	SAMN07137075	4.9692	178.7	221.26	31.77	-64.052	180	36.669	19.682	10186004	2004.224178	b10186_ctd.txt	2004.224178	2004.224353	83.825	31.77	-64.052	b10186_info.txt	2004-03-23T19:48:00	2004-03-23T21:20:00	1	186	4	BATS_core
BATS_195_4_2004-12-08_17:57:00	SAMN07137076	5.3292	5	211.31	31.687	-64.138	5	36.761	23.023	10195004	2004.93647	b10195_ctd.txt	2004.93647	2004.936637	342.7479	31.687	-64.138	b10195_info.txt	2004-12-08T17:57:00	2004-12-08T19:25:00	1	195	4	BATS_core
BATS_195_4_2004-12-08_17:57:00	SAMN07137077	5.1743	100.3	211.77	31.687	-64.138	101	36.727	21.622	10195004	2004.93647	b10195_ctd.txt	2004.93647	2004.936637	342.7479	31.687	-64.138	b10195_info.txt	2004-12-08T17:57:00	2004-12-08T19:25:00	1	195	4	BATS_core
BATS_195_4_2004-12-08_17:57:00	SAMN07137078	4.9151	179.7	199.41	31.687	-64.138	181	36.648	19.269	10195004	2004.93647	b10195_ctd.txt	2004.93647	2004.936637	342.7479	31.687	-64.138	b10195_info.txt	2004-12-08T17:57:00	2004-12-08T19:25:00	1	195	4	BATS_core
BATS_173_3_2003-02-21_19:05:00	SAMN07137079	4.9883	99.3	221.78	31.683	-64.173	100	36.67	19.895	10173003	2003.141904	b10173_ctd.txt	2003.141904	2003.142104	52.795	31.683	-64.173	b10173_info.txt	2003-02-21T19:05:00	2003-02-21T20:50:00	1	173	3	BATS_core
BATS_173_3_2003-02-21_19:05:00	SAMN07137080	4.9746	160.8	218.63	31.683	-64.173	162	36.652	19.761	10173003	2003.141904	b10173_ctd.txt	2003.141904	2003.142104	52.795	31.683	-64.173	b10173_info.txt	2003-02-21T19:05:00	2003-02-21T20:50:00	1	173	3	BATS_core
BATS_173_3_2003-02-21_19:05:00	SAMN07137081	4.4433	600.9	170.63	31.683	-64.173	606	36.029	15.119	10173003	2003.141904	b10173_ctd.txt	2003.141904	2003.142104	52.795	31.683	-64.173	b10173_info.txt	2003-02-21T19:05:00	2003-02-21T20:50:00	1	173	3	BATS_core
BATS_174_4_2003-03-22_08:51:00	SAMN07137082	4.9717	6	227.46	31.676	-64.172	6	36.659	19.791	10174004	2003.220188	b10174_ctd.txt	2003.220188	2003.220304	81.369	31.676	-64.172	b10174_info.txt	2003-03-22T08:51:00	2003-03-22T09:52:00	1	174	4	BATS_core
BATS_174_4_2003-03-22_08:51:00	SAMN07137083	4.9595	79.4	224.5	31.676	-64.172	80	36.645	19.66	10174004	2003.220188	b10174_ctd.txt	2003.220188	2003.220304	81.369	31.676	-64.172	b10174_info.txt	2003-03-22T08:51:00	2003-03-22T09:52:00	1	174	4	BATS_core
BATS_174_4_2003-03-22_08:51:00	SAMN07137084	4.895	178.7	219.37	31.676	-64.172	180	36.616	19.037	10174004	2003.220188	b10174_ctd.txt	2003.220188	2003.220304	81.369	31.676	-64.172	b10174_info.txt	2003-03-22T08:51:00	2003-03-22T09:52:00	1	174	4	BATS_core
BATS_178_4_2003-07-15_19:03:00	SAMN07137085	5.8236	5	NA	31.648	-64.317	5	36.456	27.942	10178004	2003.536421	b10178_ctd.txt	2003.536421	2003.536613	196.794	31.648	-64.317	b10178_info.txt	2003-07-15T19:03:00	2003-07-15T20:44:00	1	178	4	BATS_core
BATS_178_4_2003-07-15_19:03:00	SAMN07137086	4.8566	120.1	NA	31.648	-64.317	121	36.552	18.769	10178004	2003.536421	b10178_ctd.txt	2003.536421	2003.536613	196.794	31.648	-64.317	b10178_info.txt	2003-07-15T19:03:00	2003-07-15T20:44:00	1	178	4	BATS_core
BATS_178_4_2003-07-15_19:03:00	SAMN07137087	4.847	179.7	NA	31.648	-64.317	181	36.574	18.627	10178004	2003.536421	b10178_ctd.txt	2003.536421	2003.536613	196.794	31.648	-64.317	b10178_info.txt	2003-07-15T19:03:00	2003-07-15T20:44:00	1	178	4	BATS_core
BATS_179_4_2003-08-12_17:22:00	SAMN07137088	5.9544	6	199.8	31.65	-64.187	6	36.63	28.904	10179004	2003.612941	b10179_ctd.txt	2003.612941	2003.613128	224.724	31.65	-64.187	b10179_info.txt	2003-08-12T17:22:00	2003-08-12T19:00:00	1	179	4	BATS_core
BATS_179_4_2003-08-12_17:22:00	SAMN07137089	5.0152	99.3	212.33	31.65	-64.187	100	36.614	20.215	10179004	2003.612941	b10179_ctd.txt	2003.612941	2003.613128	224.724	31.65	-64.187	b10179_info.txt	2003-08-12T17:22:00	2003-08-12T19:00:00	1	179	4	BATS_core
BATS_179_4_2003-08-12_17:22:00	SAMN07137090	4.9074	158.8	205.13	31.65	-64.187	160	36.621	19.158	10179004	2003.612941	b10179_ctd.txt	2003.612941	2003.613128	224.724	31.65	-64.187	b10179_info.txt	2003-08-12T17:22:00	2003-08-12T19:00:00	1	179	4	BATS_core
BATS_187_5_2004-04-21_18:39:00	SAMN07137091	5.0006	5	227.04	31.519	-64.082	5	36.706	20.012	10187005	2004.303499	b10187_ctd.txt	2004.303499	2004.303784	112.777	31.519	-64.082	b10187_info.txt	2004-04-21T18:39:00	2004-04-21T21:09:00	1	187	5	BATS_core
BATS_187_5_2004-04-21_18:39:00	SAMN07137092	4.979	20.9	227.92	31.519	-64.082	21	36.715	19.791	10187005	2004.303499	b10187_ctd.txt	2004.303499	2004.303784	112.777	31.519	-64.082	b10187_info.txt	2004-04-21T18:39:00	2004-04-21T21:09:00	1	187	5	BATS_core
BATS_187_5_2004-04-21_18:39:00	SAMN07137093	4.9418	159.8	220.39	31.519	-64.082	161	36.688	19.409	10187005	2004.303499	b10187_ctd.txt	2004.303499	2004.303784	112.777	31.519	-64.082	b10187_info.txt	2004-04-21T18:39:00	2004-04-21T21:09:00	1	187	5	BATS_core
BATS_192_5_2004-09-14_18:08:00	SAMN07137094	5.8898	5	201.22	31.554	-64.175	5	36.629	28.321	10192005	2004.70344	b10192_ctd.txt	2004.70344	2004.703592	258.756	31.554	-64.175	b10192_info.txt	2004-09-14T18:08:00	2004-09-14T19:28:00	1	192	5	BATS_core
BATS_192_5_2004-09-14_18:08:00	SAMN07137095	4.9304	100.3	210.59	31.554	-64.175	101	36.629	19.394	10192005	2004.70344	b10192_ctd.txt	2004.70344	2004.703592	258.756	31.554	-64.175	b10192_info.txt	2004-09-14T18:08:00	2004-09-14T19:28:00	1	192	5	BATS_core
BATS_192_5_2004-09-14_18:08:00	SAMN07137096	4.8422	179.7	206.48	31.554	-64.175	181	36.587	18.566	10192005	2004.70344	b10192_ctd.txt	2004.70344	2004.703592	258.756	31.554	-64.175	b10192_info.txt	2004-09-14T18:08:00	2004-09-14T19:28:00	1	192	5	BATS_core
BATS_193_4_2004-10-13_17:13:00	SAMN07137097	5.6137	4	205.99	31.684	-64.296	4	36.624	25.812	10193004	2004.782787	b10193_ctd.txt	2004.782787	2004.78297	287.717	31.684	-64.296	b10193_info.txt	2004-10-13T17:13:00	2004-10-13T18:49:00	1	193	4	BATS_core
BATS_193_4_2004-10-13_17:13:00	SAMN07137098	4.9605	99.3	209.15	31.684	-64.296	100	36.643	19.663	10193004	2004.782787	b10193_ctd.txt	2004.782787	2004.78297	287.717	31.684	-64.296	b10193_info.txt	2004-10-13T17:13:00	2004-10-13T18:49:00	1	193	4	BATS_core
BATS_193_4_2004-10-13_17:13:00	SAMN07137099	4.8486	180.7	204.82	31.684	-64.296	182	36.594	18.618	10193004	2004.782787	b10193_ctd.txt	2004.782787	2004.78297	287.717	31.684	-64.296	b10193_info.txt	2004-10-13T17:13:00	2004-10-13T18:49:00	1	193	4	BATS_core
BATS_194_4_2004-11-12_13:58:00	SAMN07137100	5.3486	5	211.24	31.672	-64.174	5	36.67	23.312	10194004	2004.864978	b10194_ctd.txt	2004.864978	2004.865107	316.5819	31.672	-64.174	b10194_info.txt	2004-11-12T13:58:00	2004-11-12T15:06:00	1	194	4	BATS_core
BATS_194_4_2004-11-12_13:58:00	SAMN07137101	5.3486	18.9	210.88	31.672	-64.174	19	36.671	23.311	10194004	2004.864978	b10194_ctd.txt	2004.864978	2004.865107	316.5819	31.672	-64.174	b10194_info.txt	2004-11-12T13:58:00	2004-11-12T15:06:00	1	194	4	BATS_core
BATS_194_4_2004-11-12_13:58:00	SAMN07137102	5.1268	80.4	220.05	31.672	-64.174	81	36.675	21.237	10194004	2004.864978	b10194_ctd.txt	2004.864978	2004.865107	316.5819	31.672	-64.174	b10194_info.txt	2004-11-12T13:58:00	2004-11-12T15:06:00	1	194	4	BATS_core
BATS_176_5_2003-05-20_17:49:00	SAMN07137103	5.2849	6	218.28	31.627	-64.208	6	36.675	22.712	10176005	2003.382856	b10176_ctd.txt	2003.382856	2003.383071	140.742	31.627	-64.208	b10176_info.txt	2003-05-20T17:49:00	2003-05-20T19:42:00	1	176	5	BATS_core
BATS_176_5_2003-05-20_17:49:00	SAMN07137104	4.9799	99.3	215.16	31.627	-64.208	100	36.651	19.838	10176005	2003.382856	b10176_ctd.txt	2003.382856	2003.383071	140.742	31.627	-64.208	b10176_info.txt	2003-05-20T17:49:00	2003-05-20T19:42:00	1	176	5	BATS_core
BATS_176_5_2003-05-20_17:49:00	SAMN07137105	4.8962	178.7	213.54	31.627	-64.208	180	36.607	19.059	10176005	2003.382856	b10176_ctd.txt	2003.382856	2003.383071	140.742	31.627	-64.208	b10176_info.txt	2003-05-20T17:49:00	2003-05-20T19:42:00	1	176	5	BATS_core
BATS_182_4_2003-11-04_18:01:00	SAMN07137106	5.5213	5	206.53	31.673	-64.184	5	36.38	25.264	10182004	2003.843153	b10182_ctd.txt	2003.843153	2003.843385	308.751	31.673	-64.184	b10182_info.txt	2003-11-04T18:01:00	2003-11-04T20:03:00	1	182	4	BATS_core
BATS_182_4_2003-11-04_18:01:00	SAMN07137107	5.3572	80.4	203.19	31.673	-64.184	81	36.622	23.417	10182004	2003.843153	b10182_ctd.txt	2003.843153	2003.843385	308.751	31.673	-64.184	b10182_info.txt	2003-11-04T18:01:00	2003-11-04T20:03:00	1	182	4	BATS_core
BATS_182_4_2003-11-04_18:01:00	SAMN07137108	4.9359	179.7	202.41	31.673	-64.184	181	36.638	19.401	10182004	2003.843153	b10182_ctd.txt	2003.843153	2003.843385	308.751	31.673	-64.184	b10182_info.txt	2003-11-04T18:01:00	2003-11-04T20:03:00	1	182	4	BATS_core
BATS_183_4_2003-12-02_18:02:00	SAMN07137109	5.4654	5	211.91	31.608	-64.267	5	36.802	24.23	10183004	2003.919867	b10183_ctd.txt	2003.919867	2003.920076	336.751	31.608	-64.267	b10183_info.txt	2003-12-02T18:02:00	2003-12-02T19:52:00	1	183	4	BATS_core
BATS_183_4_2003-12-02_18:02:00	SAMN07137110	5.1223	100.3	217.55	31.608	-64.267	101	36.63	21.205	10183004	2003.919867	b10183_ctd.txt	2003.919867	2003.920076	336.751	31.608	-64.267	b10183_info.txt	2003-12-02T18:02:00	2003-12-02T19:52:00	1	183	4	BATS_core
BATS_183_4_2003-12-02_18:02:00	SAMN07137111	4.8644	179.7	202.99	31.608	-64.267	181	36.599	18.765	10183004	2003.919867	b10183_ctd.txt	2003.919867	2003.920076	336.751	31.608	-64.267	b10183_info.txt	2003-12-02T18:02:00	2003-12-02T19:52:00	1	183	4	BATS_core
BATS_188_5_2004-05-18_17:17:00	SAMN07137112	5.3519	5	218.23	31.689	-64.194	5	36.905	23.061	10188005	2004.377315	b10188_ctd.txt	2004.377315	2004.377506	139.72	31.689	-64.194	b10188_info.txt	2004-05-18T17:17:00	2004-05-18T18:57:00	1	188	5	BATS_core
BATS_188_5_2004-05-18_17:17:00	SAMN07137113	4.9614	80.4	214.85	31.689	-64.194	81	36.672	19.646	10188005	2004.377315	b10188_ctd.txt	2004.377315	2004.377506	139.72	31.689	-64.194	b10188_info.txt	2004-05-18T17:17:00	2004-05-18T18:57:00	1	188	5	BATS_core
BATS_188_5_2004-05-18_17:17:00	SAMN07137114	4.8716	179.7	215.11	31.689	-64.194	181	36.617	18.814	10188005	2004.377315	b10188_ctd.txt	2004.377315	2004.377506	139.72	31.689	-64.194	b10188_info.txt	2004-05-18T17:17:00	2004-05-18T18:57:00	1	188	5	BATS_core
BATS_189_3_2004-06-15_17:45:00	SAMN07137115	5.4664	4	210.96	31.684	-64.252	4	36.632	24.447	10189003	2004.454081	b10189_ctd.txt	2004.454081	2004.454287	167.74	31.684	-64.252	b10189_info.txt	2004-06-15T17:45:00	2004-06-15T19:33:00	1	189	3	BATS_core
BATS_189_3_2004-06-15_17:45:00	SAMN07137116	4.9644	99.3	220.36	31.684	-64.252	100	36.683	19.655	10189003	2004.454081	b10189_ctd.txt	2004.454081	2004.454287	167.74	31.684	-64.252	b10189_info.txt	2004-06-15T17:45:00	2004-06-15T19:33:00	1	189	3	BATS_core
BATS_189_3_2004-06-15_17:45:00	SAMN07137117	4.8845	178.7	213.38	31.684	-64.252	180	36.629	18.924	10189003	2004.454081	b10189_ctd.txt	2004.454081	2004.454287	167.74	31.684	-64.252	b10189_info.txt	2004-06-15T17:45:00	2004-06-15T19:33:00	1	189	3	BATS_core
BATS_191_6_2004-08-17_16:58:00	SAMN07137118	5.905	5	201.29	31.664	-64.113	5	36.825	28.207	10191006	2004.626594	b10191_ctd.txt	2004.626594	2004.626804	230.707	31.664	-64.113	b10191_info.txt	2004-08-17T16:58:00	2004-08-17T18:48:00	1	191	6	BATS_core
BATS_191_6_2004-08-17_16:58:00	SAMN07137119	5.1002	120.1	218.59	31.664	-64.113	121	36.749	20.852	10191006	2004.626594	b10191_ctd.txt	2004.626594	2004.626804	230.707	31.664	-64.113	b10191_info.txt	2004-08-17T16:58:00	2004-08-17T18:48:00	1	191	6	BATS_core
BATS_191_6_2004-08-17_16:58:00	SAMN07137120	4.9556	179.7	209.25	31.664	-64.113	181	36.67	19.551	10191006	2004.626594	b10191_ctd.txt	2004.626594	2004.626804	230.707	31.664	-64.113	b10191_info.txt	2004-08-17T16:58:00	2004-08-17T18:48:00	1	191	6	BATS_core
BATS_185_5_2004-02-24_18:10:00	SAMN07137121	5.0069	6	221.56	31.712	-64.21	6	36.731	20.042	10185005	2004.150019	b10185_ctd.txt	2004.150019	2004.150217	55.757	31.712	-64.21	b10185_info.txt	2004-02-24T18:10:00	2004-02-24T19:54:00	1	185	5	BATS_core
BATS_185_5_2004-02-24_18:10:00	SAMN07137122	5.0021	39.7	221.16	31.712	-64.21	40	36.73	19.984	10185005	2004.150019	b10185_ctd.txt	2004.150019	2004.150217	55.757	31.712	-64.21	b10185_info.txt	2004-02-24T18:10:00	2004-02-24T19:54:00	1	185	5	BATS_core
BATS_185_5_2004-02-24_18:10:00	SAMN07137123	4.9464	180.7	206.1	31.712	-64.21	182	36.666	19.468	10185005	2004.150019	b10185_ctd.txt	2004.150019	2004.150217	55.757	31.712	-64.21	b10185_info.txt	2004-02-24T18:10:00	2004-02-24T19:54:00	1	185	5	BATS_core
BATS_248_5_2009-07-14_22:21:00	SAMN08390924	5.3811	29.8	224.56	31.663	-64.165	30	36.557	23.75	10248005	2009.534058	b10248_ctd.txt	2009.534058	2009.534089	194.9313	31.663	-64.165	b10248_info.txt	2009-07-14T22:21:00	2009-07-14T22:37:00	1	248	5	BATS_core
BATS_252_5_2009-11-08_08:04:00	SAMN08390925	5.4458	80.4	205.29	31.667	-64.167	81	36.402	24.54	10252005	2009.852976	b10252_ctd.txt	2009.852976	2009.853111	311.3361	31.667	-64.167	b10252_info.txt	2009-11-08T08:04:00	2009-11-08T09:15:00	1	252	5	BATS_core
