sampling_event_ID	bottle_id	BioSample	decy	lat	lon	Depth	Temp	CTD_S	Sal1	SigTh	O2	OxFix	Anom1	CO2	Alk	NO31	PO41	Si1	POC	PON	TOC	TN	Bact	POP	TDP	SRP	BSi	LSi	Pro	Syn	Piceu	Naneu	ISO_datetime	cruise_type	cruise_number	cast_number	niskin_number	cruise_type_text
BATS_179_4_2003-08-12_17:22:00	1017900413	SAMN07137090	2003.61294	31.65	-64.187	159	19.171	36.616	NA	26.221	NA	20.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-08-12T17:22:00Z	1	179	4	13	BATS_core
BATS_187_5_2004-04-21_18:39:00	1018700501	SAMN07137091	2004.3035	31.519	-64.082	3.7	19.909	36.704	NA	26.088	NA	17.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-04-21T18:39:00Z	1	187	5	1	BATS_core
BATS_187_5_2004-04-21_18:39:00	1018700504	SAMN07137092	2004.3035	31.519	-64.082	20.8	19.788	36.718	NA	26.131	NA	17.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-04-21T18:39:00Z	1	187	5	4	BATS_core
BATS_187_5_2004-04-21_18:39:00	1018700511	SAMN07137093	2004.3035	31.519	-64.082	160.8	19.445	36.696	NA	26.212	NA	17.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-04-21T18:39:00Z	1	187	5	11	BATS_core
BATS_192_5_2004-09-14_18:08:00	1019200501	SAMN07137094	2004.70344	31.554	-64.175	2.7	28.253	36.637	NA	23.545	NA	27.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	0	NA	NA	NA	NA	NA	NA	2004-09-14T18:08:00Z	1	192	5	1	BATS_core
BATS_192_5_2004-09-14_18:08:00	1019200507	SAMN07137095	2004.70344	31.554	-64.175	99.9	19.509	36.625	NA	26.138	NA	20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	0	NA	NA	NA	NA	NA	NA	2004-09-14T18:08:00Z	1	192	5	7	BATS_core
BATS_192_5_2004-09-14_18:08:00	1019200511	SAMN07137096	2004.70344	31.554	-64.175	179.9	18.61	36.588	NA	26.345	NA	19.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-09-14T18:08:00Z	1	192	5	11	BATS_core
BATS_193_4_2004-10-13_17:13:00	1019300401	SAMN07137097	2004.78279	31.684	-64.296	2.7	25.829	36.642	NA	24.329	NA	24.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-10-13T17:13:00Z	1	193	4	1	BATS_core
BATS_193_4_2004-10-13_17:13:00	1019300407	SAMN07137098	2004.78279	31.684	-64.296	99.7	19.706	36.647	NA	26.103	NA	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-10-13T17:13:00Z	1	193	4	7	BATS_core
BATS_193_4_2004-10-13_17:13:00	1019300411	SAMN07137099	2004.78279	31.684	-64.296	181.5	18.633	36.593	NA	26.343	NA	18.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-10-13T17:13:00Z	1	193	4	11	BATS_core
BATS_194_4_2004-11-12_13:58:00	1019400401	SAMN07137100	2004.86498	31.672	-64.174	3.2	23.267	36.662	36.669	25.119	210.8	23	0.6	2052.5	2395.2	NA	NA	NA	NA	NA	66.7	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2004-11-12T13:58:00Z	1	194	4	1	BATS_core
BATS_194_4_2004-11-12_13:58:00	1019400406	SAMN07137101	2004.86498	31.672	-64.174	18.2	23.271	36.671	NA	25.125	NA	21.7	NA	NA	NA	NA	NA	NA	21.67	4.38	NA	NA	6.2	0.007	NA	NA	13.64	1.96	89991	7153	614	240	2004-11-12T13:58:00Z	1	194	4	6	BATS_core
BATS_194_4_2004-11-12_13:58:00	1019400411	SAMN07137102	2004.86498	31.672	-64.174	80.6	21.428	36.692	36.699	25.67	217.2	21.8	0.2	2074.6	2398.4	NA	NA	NA	NA	NA	62.1	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	2004-11-12T13:58:00Z	1	194	4	11	BATS_core
BATS_176_5_2003-05-20_17:49:00	1017600501	SAMN07137103	2003.38286	31.627	-64.208	3.4	22.746	36.669	36.667	25.274	215.9	22.4	3.8	NA	NA	0	0	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-05-20T17:49:00Z	1	176	5	1	BATS_core
BATS_176_5_2003-05-20_17:49:00	1017600513	SAMN07137104	2003.38286	31.627	-64.208	99.7	19.797	36.643	36.643	26.076	211.6	20.1	-11.9	NA	NA	0.63	0	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-05-20T17:49:00Z	1	176	5	13	BATS_core
BATS_176_5_2003-05-20_17:49:00	1017600517	SAMN07137105	2003.38286	31.627	-64.208	179.4	19.127	36.617	NA	26.235	NA	18.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-05-20T17:49:00Z	1	176	5	17	BATS_core
BATS_182_4_2003-11-04_18:01:00	1018200401	SAMN07137106	2003.84315	31.673	-64.184	3	25.333	36.387	NA	24.29	NA	24.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-11-04T18:01:00Z	1	182	4	1	BATS_core
BATS_182_4_2003-11-04_18:01:00	1018200406	SAMN07137107	2003.84315	31.673	-64.184	79.9	23.874	36.621	NA	24.913	NA	23.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-11-04T18:01:00Z	1	182	4	6	BATS_core
BATS_182_4_2003-11-04_18:01:00	1018200411	SAMN07137108	2003.84315	31.673	-64.184	179.4	19.477	36.638	NA	26.16	NA	19.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-11-04T18:01:00Z	1	182	4	11	BATS_core
BATS_183_4_2003-12-02_18:02:00	1018300401	SAMN07137109	2003.91987	31.608	-64.267	2.7	24.207	36.801	NA	24.946	NA	22.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-12-02T18:02:00Z	1	183	4	1	BATS_core
BATS_183_4_2003-12-02_18:02:00	1018300410	SAMN07137110	2003.91987	31.608	-64.267	99.5	20.654	36.635	NA	25.84	NA	19.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-12-02T18:02:00Z	1	183	4	10	BATS_core
BATS_183_4_2003-12-02_18:02:00	1018300414	SAMN07137111	2003.91987	31.608	-64.267	180	18.772	36.598	NA	26.311	NA	17.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-12-02T18:02:00Z	1	183	4	14	BATS_core
BATS_188_5_2004-05-18_17:17:00	1018800504	SAMN07137112	2004.37731	31.689	-64.194	3.1	23.272	36.913	NA	25.308	NA	22.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	2004-05-18T17:17:00Z	1	188	5	4	BATS_core
BATS_188_5_2004-05-18_17:17:00	1018800509	SAMN07137113	2004.37731	31.689	-64.194	79.6	19.593	36.669	NA	26.149	NA	18.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2004-05-18T17:17:00Z	1	188	5	9	BATS_core
BATS_188_5_2004-05-18_17:17:00	1018800514	SAMN07137114	2004.37731	31.689	-64.194	179.8	18.805	36.613	NA	26.314	NA	18.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-05-18T17:17:00Z	1	188	5	14	BATS_core
BATS_189_3_2004-06-15_17:45:00	1018900301	SAMN07137115	2004.45408	31.684	-64.252	2.4	24.488	36.642	NA	24.741	NA	22.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-06-15T17:45:00Z	1	189	3	1	BATS_core
BATS_189_3_2004-06-15_17:45:00	1018900309	SAMN07137116	2004.45408	31.684	-64.252	99.4	19.603	36.674	NA	26.15	NA	18.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	4	NA	NA	NA	NA	NA	NA	2004-06-15T17:45:00Z	1	189	3	9	BATS_core
BATS_189_3_2004-06-15_17:45:00	1018900313	SAMN07137117	2004.45408	31.684	-64.252	179.6	18.898	36.625	NA	26.3	NA	17.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-06-15T17:45:00Z	1	189	3	13	BATS_core
BATS_191_6_2004-08-17_16:58:00	1019100604	SAMN07137118	2004.62659	31.664	-64.113	2.8	28.522	36.843	NA	23.612	NA	28.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	0	NA	NA	NA	NA	NA	NA	2004-08-17T16:58:00Z	1	191	6	4	BATS_core
BATS_191_6_2004-08-17_16:58:00	1019100611	SAMN07137119	2004.62659	31.664	-64.113	121.1	20.873	36.752	NA	25.871	NA	21.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	1	NA	NA	NA	NA	NA	NA	2004-08-17T16:58:00Z	1	191	6	11	BATS_core
BATS_191_6_2004-08-17_16:58:00	1019100614	SAMN07137120	2004.62659	31.664	-64.113	179.6	19.563	36.667	NA	26.16	NA	20.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-08-17T16:58:00Z	1	191	6	14	BATS_core
BATS_185_5_2004-02-24_18:10:00	1018500501	SAMN07137121	2004.14961	31.712	-64.21	2.7	20.214	36.739	NA	26.034	NA	17.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2004-02-24T18:10:00Z	1	185	5	1	BATS_core
BATS_185_5_2004-02-24_18:10:00	1018500504	SAMN07137122	2004.14961	31.712	-64.21	40	20	36.732	NA	26.087	NA	17.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	2004-02-24T18:10:00Z	1	185	5	4	BATS_core
BATS_185_5_2004-02-24_18:10:00	1018500511	SAMN07137123	2004.14961	31.712	-64.21	181	19.376	36.656	NA	26.2	NA	16.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-02-24T18:10:00Z	1	185	5	11	BATS_core
BATS_248_5_2009-07-14_22:21:00	1024800503	SAMN08390924	2009.53406	31.663	-64.165	30.2	23.634	36.591	NA	24.959	NA	24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-07-14T22:21:00Z	1	248	5	3	BATS_core
BATS_252_5_2009-11-08_08:04:00	1025200510	SAMN08390925	2009.85298	31.667	-64.167	80.6	24.501	36.41	NA	24.566	NA	22.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2009-11-08T08:04:00Z	1	252	5	10	BATS_core
